Frequency,Mean Storage Modulus [Pa],Storage Modulus stdev [Pa],Mean Loss Modulus [Pa],Loss Modulus stdev [Pa],Tan Delta,Tan Delta Error
0.01,98770.32212010474,6074.153232405005,438.8455299082017,104.2321229150251,0.004428725031722754,0.000951341553897371
0.011154865637172875,98776.84405858812,6074.870909570894,489.0455711306497,115.97774310548789,0.004934984717702978,0.001057995004454802
0.012443102738338022,98784.9393242778,6075.763055611179,544.8582885238186,128.96850739947362,0.005497713919260593,0.001175740320774407
0.013880113915569843,98794.98145159383,6076.871797808767,606.8614565489215,143.30638069856755,0.00612267403296529,0.00130539865345461
0.01548308057568351,98807.42942109433,6078.249263764398,675.67316118493,159.0898359115609,0.006816007347536606,0.0014477185924606716
0.017271168347127077,98822.84546959473,6079.9598482841375,751.94684714924,176.40819978045687,0.007584178009158008,0.001603310511753308
0.01926575623091956,98841.91567927931,6082.082924262438,836.3625091092085,195.33376702009568,0.008433871277893676,0.0017725563161789001
0.02149069221544338,98865.47325762805,6084.716036095464,929.6126064350028,215.91111267034844,0.009371836125948737,0.0019554885325077714
0.023972578411310796,98894.52405842161,6087.978579292672,1032.3809306551473,238.14302854606507,0.010404652737785323,0.0021516327775420296
0.02674108911547631,98930.2733229908,6092.0159003764265,1145.3123048522293,261.9726265119213,0.011538403151547638,0.00235980910353794
0.02982932560748043,98974.1517713254,6097.003626057814,1268.9707170846652,287.261486789516,0.012778220978113012,0.002577891627531032
0.03327421191989242,99027.83798066656,6103.151822641985,1403.7834116892836,313.764422883982,0.01412769627906621,0.0028025336763520714
0.0371169363149216,99093.27242330523,6110.708265920793,1549.968781084146,341.1026613807951,0.015588116458169758,0.0030288792290678965
0.0414034437456453,99172.65664511493,6119.959650222164,1707.4468964044179,368.73917290894855,0.017157536399559126,0.0032503024485807234
0.04618498518989187,99268.42905539587,6131.22900673286,1875.7335349209332,395.9626345081194,0.01882969458199306,0.0034582463040966666
0.05151873042480629,99383.20711389578,6144.86705481289,2053.8219541371636,421.88989656328783,0.020592829713895804,0.0036422668042217464
0.05746845156864445,99519.68510892807,6161.234957723854,2240.0616308805725,445.5001965686863,0.022428505758036902,0.0037904244172850556
0.06410528556246055,99680.4783061511,6180.676480714007,2432.0495474542345,465.7161909159434,0.0243106186167984,0.003890185132993771
0.07150858470818457,99867.90924108354,6203.479457701179,2626.556497268619,481.5445412672312,0.02620482421433425,0.003929979475126531
0.07976686543241933,100083.74127465318,6229.8301447956965,2819.5165019158603,492.2786121865344,0.028068674810095968,0.0039014942667423206
0.08897886661970873,100328.87820623424,6259.769003821377,3006.109092568674,497.74380148256273,0.029852749870552545,0.0038026174120134636
0.09925473016907775,100603.06501197752,6293.160763655461,3180.958886131657,498.5298306219407,0.03150299077693998,0.0036406987377246834
0.11071731788899107,100904.63982467575,6329.691955228217,3338.4623630464507,496.1082759516871,0.03296427798793383,0.0034353708732384187
0.12350368047598521,101230.39561017834,6368.902593412237,3473.22808695988,492.69939387137714,0.03418503422733657,0.003219425485230322
0.13776669614059459,101575.60594858692,6410.24576095439,3580.587311736471,490.7829109163693,0.03512234310060007,0.003035050369902428
0.15367689847255556,101934.2493055205,6453.155341577271,3657.104147739857,492.3104167630674,0.03574681881939393,0.0029223549023869974
0.17142451539988146,102299.43107726364,6497.096971586097,3700.997637088395,497.9437416907671,0.03604634526926366,0.002901889913778829
0.1912217436203149,102663.9594038423,6541.585946828366,3712.3909107314084,506.7705950820716,0.03602789903381967,0.0029632634293187896
0.21330528569905324,103020.99148128944,6586.174593875877,3693.32890847602,516.6904176939751,0.03571699793643869,0.003071683140558373
0.23793918016717117,103364.64562050093,6630.428668530924,3647.5514467578146,525.2114213331997,0.03515480168544152,0.0031860829204570992
0.26541795845838617,103690.47970847439,6673.916458290676,3580.0597258942,530.2108738419229,0.03439338531317445,0.0032736187251814534
0.296070166429603,103995.7681680023,6716.223598776684,3496.554908877934,530.3776312507326,0.03349004505653076,0.0033149915470501784
0.33026229256976325,104279.55562971786,6756.989508425033,3402.8444376584494,525.3065486423432,0.03250157987452005,0.0033035715807242763
0.36840314986403866,104542.50990456209,6795.948947371378,3304.302656560654,515.3512594006608,0.031479329381594305,0.0032420894549347644
0.4109487637044614,104786.62604475266,6832.9603274142955,3205.444922356756,501.36310279287244,0.03046544289155284,0.0031389683578718626
0.4584078242885569,105014.84240241112,6868.009282838897,3109.641803983846,484.41296429595525,0.02949053735936042,0.003005136329415544
0.5113477686967605,105230.6224949796,6901.18594052686,3018.973781343117,465.55357293592925,0.02857267419132788,0.0028515752155013254
0.5704015653680518,105437.54189045931,6932.642392103367,2934.212680685346,445.6500133924713,0.027717481962758053,0.0026876347979749586
0.6362752820913694,105638.90596760546,6962.54115985742,2854.9130578124536,425.2883545017781,0.026919250648791734,0.002520082242194273
0.7097565279983494,105837.41763264424,6991.006405845948,2779.5995788686832,404.76178776436683,0.026162865493846107,0.0023528574861762888
0.7917238704927916,106034.91453515709,7018.088352939999,2706.038491583662,384.1243995209658,0.025426471938311237,0.0021874777841041156
0.8831573397089548,106232.19933902282,7043.748460949174,2631.5773451818054,363.2917563550236,0.024684722804906207,0.00202393677401672
0.9851501460936433,106428.9878105013,7067.868399259583,2553.525781632065,342.157417571226,0.023912348503594194,0.0018618118496789256
1.0989217512115819,106623.99169953803,7090.2800948612585,2469.5350264422614,320.69122058017473,0.023087649703143268,0.0017012236207384556
1.2258324480531901,106815.1341306331,7110.808416106194,2377.9223579239583,298.99289239036153,0.022195414758886613,0.0015433556078634449
