Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
2.0,2.0,0.00522,15454.51567,-357.90601,-922.164,-27141.281,0.00014,-0.00047,-0.02797,-0.0859,,0.0,-0.00146,-0.00454,22.87088,6.46483,15454.51567,-0.0859,-0.08521710454296665,0.00036915430929224016,-0.02797,0.0,0.00027887888,128807.03063104964,128807.03063104964,130126.69459235262,0.0,1.0
2.0,2.0,0.02287,15454.52067,-357.9069,-922.16315,-27141.281,4e-05,-0.00027,-0.01032,-0.0814,,0.0,-0.00144,-0.00451,22.87087,6.48248,15454.52067,-0.0814,-0.08299529409288033,0.00036915430929224016,-0.01032,0.005000000001018634,0.00027861357999999994,128684.49533821418,128684.49533821418,129350.29066688605,583777594937041.0,0.9959270413698273
2.0,2.0,0.04878,15454.52567,-357.907,-922.163,-27141.281,-0.00032,0.00024,0.01559,-0.0808,,0.0,-0.00145,-0.00452,22.87102,6.50839,15454.52567,-0.0808,-0.08040432933350178,0.00036915430929224016,0.01559,0.010000000000218279,0.00027760279,128217.63725813458,128217.63725813458,128603.68258566792,1167555189661705.0,0.9804091150456989
2.0,2.0,0.0792,15454.53067,-357.907,-922.16385,-27141.281,-0.00048,-0.00012,0.04602,-0.07784,,0.0,-0.00145,-0.00454,22.87091,6.53881,15454.53067,-0.07784,-0.07744421026483098,0.00036915430929224016,0.04602,0.014999999999417923,0.00027687345999999997,127880.77836207853,127880.77836207853,127885.68396266598,1751332784386369.0,0.969212240120168
2.0,2.0,0.1149,15454.53567,-357.907,-922.164,-27141.281,-0.00031,-0.00033,0.08172,-0.07665,,0.0,-0.00147,-0.0045,22.87097,6.57451,15454.53567,-0.07665,-0.07411493688686793,0.00036915430929224016,0.08172,0.020000000000436557,0.00027609798,127522.60395993749,127522.60395993749,127195.1558649433,2335110379323410.0,0.9573068576907461
2.0,2.0,0.1573,15454.54067,-357.907,-922.16315,-27141.28179,-0.00019,0.00026,0.12413,-0.06548,,0.0,-0.00148,-0.00448,22.87092,6.61692,15454.54067,-0.06548,-0.07041650919961266,0.00036915430929224016,0.12413,0.024999999999636202,0.00027469783999999997,126875.91506091523,126875.91506091523,126531.00491417084,2918887974048074.0,0.9358115229887146
2.0,2.0,0.2044,15454.54567,-357.907,-922.163,-27141.282,-0.00035,-7e-05,0.17123,-0.05834,,0.0,-0.00142,-0.00456,22.87089,6.66401,15454.54567,-0.05834,-0.06634892720306515,0.00036915430929224016,0.17123,0.030000000000654836,0.00027331667999999995,126237.99253904342,126237.99253904342,125892.18146171547,3502665568985115.0,0.9146075744713822
2.0,2.0,0.25494,15454.55067,-357.907,-922.16215,-27141.28115,-4e-05,-0.00069,0.22177,-0.06224,,0.0,-0.00143,-0.00453,22.87099,6.71456,15454.55067,-0.06224,-0.06191219089722539,0.00036915430929224016,0.22177,0.03499999999985448,0.00027248615999999996,125854.39656691496,125854.39656691496,125277.67784037182,4086443163709779.0,0.9018572028108834
2.0,2.0,0.3117,15454.55567,-357.907,-922.16202,-27141.281,7e-05,-0.00017,0.27853,-0.06137,,0.0,-0.00145,-0.00451,22.87089,6.77132,15454.55567,-0.06137,-0.05710630028209339,0.00036915430929224016,0.27853,0.040000000000873115,0.00027115335999999997,125238.8102936731,125238.8102936731,124686.52668235204,4670220758646820.0,0.8813956903257983
2.0,2.0,0.37313,15454.56067,-357.90615,-922.1638,-27141.28185,-0.00017,0.0002,0.33996,-0.05781,,0.0,-0.00146,-0.00452,22.87091,6.83274,15454.56067,-0.05781,-0.051931255357669154,0.00036915430929224016,0.33996,0.04500000000007276,0.00026952062,124484.68939648455,124484.68939648455,124117.79930817589,5253998353371484.0,0.8563294163950529
2.0,2.0,0.43699,15454.56567,-357.906,-922.164,-27141.282,0.00012,-0.00015,0.40382,-0.05734,,0.0,-0.00145,-0.00451,22.87088,6.8966,15454.56567,-0.05734,-0.04638705612395268,0.00036915430929224016,0.40382,0.049999999999272404,0.00026866438,124089.21401338087,124089.21401338087,123570.60417680208,5837775948096148.0,0.8431841842145087
2.0,2.0,0.50502,15454.57067,-357.90515,-922.16321,-27141.282,-7e-05,-0.00039,0.47186,-0.03422,,0.0,-0.00146,-0.00454,22.8708,6.96463,15454.57067,-0.03422,-0.04047370258094396,0.00036915430929224016,0.47186,0.05500000000029104,0.0002673973,123503.98212930276,123503.98212930276,123044.08539994009,6421553543033189.0,0.8237316232604257
2.0,2.0,0.57882,15454.57567,-357.90502,-922.163,-27141.282,0.00016,0.00013,0.54566,-0.03953,,0.0,-0.00147,-0.0045,22.8708,7.03843,15454.57567,-0.03953,-0.034191194728643,0.00036915430929224016,0.54566,0.05999999999949068,0.00026588915,122807.40617042693,122807.40617042693,122537.42131571447,7005331137757853.0,0.800578089306058
2.0,2.0,0.65391,15454.58067,-357.9068,-922.16385,-27141.282,1e-05,-0.0001,0.62076,-0.02821,,0.0,-0.00143,-0.00453,22.8708,7.11352,15454.58067,-0.02821,-0.027539532567050315,0.0003691543092922486,0.62076,0.06500000000050932,0.00026501391000000003,122403.1551726837,122403.1551726837,122049.82311757855,7589108732694894.0,0.7871411638953096
2.0,2.0,0.73252,15454.58567,-357.907,-922.164,-27141.282,-5e-05,-0.00066,0.69938,-0.01137,,0.0,-0.00147,-0.00454,22.87093,7.19213,15454.58567,-0.01137,-0.020259647509578916,0.0003533583428066248,0.69938,0.06999999999970896,0.00026390796,121892.34511949352,121892.34511949352,121580.53354085301,8172886327419558.0,0.7701623150561132
2.0,2.0,0.81574,15454.59067,-357.907,-922.164,-27141.28285,-8e-05,-8e-05,0.7826,-0.01256,,0.0,-0.00146,-0.00454,22.87095,7.27535,15454.59067,-0.01256,-0.012863854406130507,0.00035011485832175883,0.7826,0.0750000000007276,0.00026260791,121291.88523464353,121291.88523464353,121128.82559899922,8756663922356599.0,0.7502035895862491
2.0,2.0,0.9011,15454.59567,-357.907,-922.164,-27141.283,0.00011,0.00026,0.86796,-0.00626,,0.0,-0.00143,-0.00451,22.87105,7.36071,15454.59567,-0.00626,-0.004970000000000094,0.00033882783882784035,0.86796,0.07999999999992724,0.00026158164,120817.87733800494,120817.87733800494,120694.00137320497,9340441517081264.0,0.7344480100408796
2.0,2.0,0.98818,15454.60067,-357.907,-922.164,-27141.28221,-0.00021,-0.00035,0.95505,0.00223,,0.0,-0.00146,-0.00449,22.87073,7.4478,15454.60067,0.00223,0.0034022681992337735,0.0003180937223695836,0.95505,0.08500000000094587,0.00026074773999999995,120432.72023021952,120432.72023021952,120275.3908477898,9924219112018304.0,0.7216457476899543
2.0,2.0,1.08013,15454.60567,-357.90698,-922.164,-27141.282,-1e-05,-0.00039,1.04701,0.00998,,0.0,-0.00149,-0.00454,22.87082,7.53975,15454.60567,0.00998,0.011583042145594077,0.00032440520399140737,1.04701,0.09000000000014552,0.00025970657999999997,119951.83502295025,119951.83502295025,119872.35079475358,1.0507996706742968e+16,0.7056615727657564
2.0,2.0,1.1741,15454.61067,-357.9052,-922.164,-27141.282,9e-05,0.00024,1.14098,0.01754,,0.0,-0.00146,-0.00452,22.87102,7.63372,15454.61067,0.01754,0.020518436781609566,0.0003083665529872365,1.14098,0.09499999999934516,0.00025854755,119416.50867370394,119416.50867370394,119484.26370067519,1.1091774301467632e+16,0.6878678251550213
2.0,2.0,1.26873,15454.61567,-357.90501,-922.164,-27141.282,0.00014,-9e-05,1.23563,0.04141,,0.0,-0.00147,-0.00453,22.87104,7.72835,15454.61567,0.04141,0.03094394636015382,0.00022811165845647687,1.23563,0.1000000000003638,0.0002579135,119123.65717569298,119123.65717569298,119110.53673808157,1.1675551896404674e+16,0.6781337150175898
2.0,2.0,1.36715,15454.62067,-357.9059,-922.164,-27141.282,-0.00032,-0.00036,1.33404,0.04273,,0.0,-0.00149,-0.00453,22.8709,7.82676,15454.62067,0.04273,0.0405163065134107,0.0002093281125005143,1.33404,0.10499999999956344,0.00025715539000000003,118773.50553283031,118773.50553283031,118750.60077790976,1.2259329491129338e+16,0.6664950016096765
2.0,2.0,1.46851,15454.62567,-357.90599,-922.16399,-27141.282,4e-05,0.00023,1.43541,0.04632,,0.0,-0.00143,-0.00456,22.8709,7.92813,15454.62567,0.04632,0.05034603065134191,0.0001893616268788532,1.43541,0.11000000000058208,0.00025597105000000004,118226.4891411352,118226.4891411352,118403.90944018833,1.2843107086066378e+16,0.648312687911758
2.0,2.0,1.56992,15454.63067,-357.9051,-922.16229,-27141.282,-0.00018,-2e-05,1.53683,0.06092,,0.0,-0.00142,-0.00452,22.87092,8.02953,15454.63067,0.06092,0.06006451340996277,0.0001857364321502072,1.53683,0.11499999999978172,0.00025538654,117956.5189036107,117956.5189036107,118069.93818466597,1.3426884680791042e+16,0.6393391294913962
2.0,2.0,1.67339,15454.63567,-357.90502,-922.16202,-27141.282,-0.00012,-0.00035,1.64029,0.05999,,0.0,-0.00145,-0.00451,22.87098,8.133,15454.63567,0.05999,0.06971298850574839,0.0001933569112879253,1.64029,0.12000000000080036,0.00025489473,117729.36442803818,117729.36442803818,117748.18343582159,1.4010662275728084e+16,0.631788726988928
2.0,2.0,1.77991,15454.64067,-357.90594,-922.1638,-27141.28285,0.00016,-0.00017,1.74683,0.07761,,0.0,-0.00147,-0.00457,22.87092,8.23952,15454.64067,0.07761,0.08016032183908192,0.00016663163656264711,1.74683,0.125,0.00025381155,117229.07125618187,117229.07125618187,117438.16174483884,1.4594439870452748e+16,0.61515944945772
2.0,2.0,1.88789,15454.64567,-357.906,-922.16399,-27141.283,-1e-05,-7e-05,1.85482,0.09736,,0.0,-0.00146,-0.00457,22.87086,8.3475,15454.64567,0.09736,0.0899494789272047,0.00018788042608729595,1.85482,0.13000000000101863,0.0002531543,116925.50427082155,116925.50427082155,117139.40898325153,1.5178217465389788e+16,0.6050691665339335
2.0,2.0,1.99534,15454.65067,-357.906,-922.1631,-27141.283,-1e-05,-1e-05,1.96227,0.09772,,0.0,-0.00149,-0.00457,22.87084,8.45495,15454.65067,0.09772,0.10054152490421639,0.00017379588227861082,1.96227,0.13500000000021828,0.00025284326000000004,116781.84284042753,116781.84284042753,116851.47957066669,1.5761995060114452e+16,0.6002939948327329
2.0,2.0,2.10673,15454.65567,-357.906,-922.163,-27141.283,-0.0001,-0.00023,2.07368,0.11563,,0.0,-0.00148,-0.00455,22.87087,8.56635,15454.65567,0.11563,0.11199377777777983,0.00012127960927957575,2.07368,0.13999999999941792,0.00025195136,116369.89701426876,116369.89701426876,116573.94573176018,1.6345772654839116e+16,0.5866013005159202
2.0,2.0,2.21959,15454.66067,-357.906,-922.163,-27141.283,-0.00012,0.00021,2.18653,0.12309,,0.0,-0.00149,-0.00453,22.87099,8.6792,15454.66067,0.12309,0.12304493486590264,9.864073091655579e-05,2.18653,0.14500000000043656,0.00025120379,116024.61352815876,116024.61352815876,116306.39678409454,1.6929550249776158e+16,0.5751244000893933
