Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
6.0,2.0,0.00573,15541.28567,-1357.914,77.84,-27142.297,0.00015,-0.00036,-0.08847,-0.10397,,0.0,-0.00152,-0.00452,22.88045,-19.73131,15541.28567,-0.10397,-0.10014070060207995,0.0003012310218517116,-0.08847,0.0,0.00028800361999999996,136441.2516078521,136441.2516078521,137822.47423637952,0.0,1.0
6.0,2.0,0.02403,15541.29067,-1357.914,77.83915,-27142.297,0.0002,-0.00014,-0.07016,-0.09007,,0.0,-0.0015,-0.00454,22.88068,-19.71301,15541.29067,-0.09007,-0.09714953770367567,0.0003012310218517116,-0.07016,0.004999999999199645,0.00028754759999999996,136225.2128665397,136225.2128665397,136983.03031291004,603873302350935.8,0.9931470624620334
6.0,2.0,0.05089,15541.29567,-1357.914,77.839,-27142.297,-0.00024,0.00011,-0.04331,-0.09049,,0.0,-0.00151,-0.00455,22.88056,-19.68615,15541.29567,-0.09049,-0.09385714378341968,0.0003012310218517116,-0.04331,0.010000000000218279,0.00028656048999999993,135757.57109219453,135757.57109219453,136176.11712679634,1207746604921559.5,0.9783130569949433
6.0,2.0,0.08047,15541.30067,-1357.914,77.839,-27142.29779,-0.00014,0.00042,-0.01373,-0.09178,,0.0,-0.00151,-0.0045,22.88053,-19.65657,15541.30067,-0.09178,-0.09026351884131198,0.0003012310218517116,-0.01373,0.014999999999417923,0.00028590313999999993,135446.15258730066,135446.15258730066,135400.42452927667,1811619907272495.2,0.9684345900623912
6.0,2.0,0.11668,15541.30567,-1357.914,77.839,-27142.29799,0.0002,3e-05,0.02249,-0.08805,,0.0,-0.00151,-0.00451,22.88057,-19.62036,15541.30567,-0.08805,-0.08636866287735256,0.0003012310218517116,0.02249,0.020000000000436557,0.00028496131,134999.96214010485,134999.96214010485,134654.69541543367,2415493209843119.0,0.9542810394256148
6.0,2.0,0.1607,15541.31067,-1357.914,77.839,-27142.2971,-5e-05,-0.00019,0.06652,-0.07684,,0.0,-0.00152,-0.00453,22.88054,-19.57634,15541.31067,-0.07684,-0.08217257589154144,0.0003012310218517116,0.06652,0.024999999999636202,0.00028337172,134246.89643508583,134246.89643508583,133937.72357693964,3019366512194054.5,0.9303931376209212
6.0,2.0,0.20701,15541.31567,-1357.91402,77.839,-27142.297,0.00022,2e-05,0.11283,-0.07585,,0.0,-0.00152,-0.00452,22.88063,-19.53003,15541.31567,-0.07585,-0.07767525788387859,0.0003012310218517116,0.11283,0.029999999998835847,0.00028218152999999994,133683.04583747475,133683.04583747475,133248.35163773215,3623239814544990.5,0.9125073042620494
6.0,2.0,0.25858,15541.32067,-1357.9158,77.83985,-27142.29779,0.00026,-0.00023,0.16438,-0.08711,,0.0,-0.0015,-0.00453,22.88062,-19.47846,15541.32067,-0.08711,-0.07287670885436404,0.0003012310218517116,0.16438,0.03499999999985448,0.00028119577999999995,133216.0483609415,133216.0483609415,132585.4690760601,4227113117115614.0,0.8976937364842095
6.0,2.0,0.31594,15541.32567,-1357.91599,77.84,-27142.298,-0.00024,-0.00047,0.22176,-0.0701,,0.0,-0.00151,-0.00453,22.88052,-19.4211,15541.32567,-0.0701,-0.06777692880299778,0.0003012310218517116,0.22176,0.039999999999054126,0.00027959282,132456.6486399334,132456.6486399334,131948.01032654705,4830986419466550.0,0.8736049141609368
6.0,2.0,0.37628,15541.33067,-1357.91429,77.83921,-27142.298,-0.00011,0.00023,0.2821,-0.05648,,0.0,-0.0015,-0.00453,22.88045,-19.36077,15541.33067,-0.05648,-0.06237591772977981,0.0003012310218517116,0.2821,0.04500000000007276,0.00027812793,131762.6593592854,131762.6593592854,131334.95295685812,5434859722037173.0,0.851590968127886
6.0,2.0,0.44095,15541.33567,-1357.91402,77.83901,-27142.298,-0.00012,0.00032,0.34677,-0.06613,,0.0,-0.00154,-0.00454,22.88054,-19.29609,15541.33567,-0.06613,-0.056673675634710124,0.0003012310218517116,0.34677,0.049999999999272404,0.00027716945999999997,131308.58573886153,131308.58573886153,130745.31592171821,6038733024388109.0,0.8371873563520537
6.0,2.0,0.51055,15541.34067,-1357.91494,77.8399,-27142.298,2e-05,0.00013,0.41638,-0.0479,,0.0,-0.0015,-0.00455,22.8806,-19.22649,15541.34067,-0.0479,-0.050670202517788726,0.0003012310218517116,0.41638,0.05500000000029104,0.00027580568,130662.4971580383,130662.4971580383,130178.15788412315,6642606326958733.0,0.8166928623484401
6.0,2.0,0.58307,15541.34567,-1357.915,77.83999,-27142.298,0.00028,-0.00041,0.4889,-0.04162,,0.0,-0.00149,-0.00456,22.88055,-19.15397,15541.34567,-0.04162,-0.04436549837901562,0.0003012310218517116,0.4889,0.05999999999949068,0.00027420809,129905.64146589044,129905.64146589044,129632.57560802062,7246479629309669.0,0.7926847388422775
6.0,2.0,0.65876,15541.35067,-1357.91421,77.8391,-27142.298,0.00018,-0.00021,0.5646,-0.03885,,0.0,-0.00149,-0.00453,22.88068,-19.07828,15541.35067,-0.03885,-0.037759563218391495,0.0003012310218517228,0.5646,0.06500000000050932,0.00027322973999999997,129442.14972745137,129442.14972745137,129107.70241283182,7850352931880292.0,0.7779823761382958
