Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
4.0,2.0,0.00864,15497.89567,-857.904,-422.165,-27142.445,0.00063,-0.00035,-0.0586,-0.10268,,0.0,-0.00148,-0.00454,22.87592,-5.51948,15497.89567,-0.10268,-0.10868094690749862,0.0003853192707675466,-0.0586,0.0,0.00024977558,115546.06750690698,115546.06750690698,116833.0783599664,0.0,1.0
4.0,2.0,0.02776,15497.90067,-857.904,-422.165,-27142.44585,0.00032,-0.00068,-0.03949,-0.11177,,0.0,-0.00146,-0.00453,22.87598,-5.50036,15497.90067,-0.11177,-0.10703466001431518,0.0003853192707675466,-0.03949,0.004999999999199645,0.00024942952,115385.98031134752,115385.98031134752,116017.32314191629,584999852241382.9,0.9939072172095228
4.0,2.0,0.05388,15497.90567,-857.904,-422.165,-27142.446,0.00067,-0.0001,-0.01336,-0.0963,,0.0,-0.00144,-0.00455,22.87589,-5.47424,15497.90567,-0.0963,-0.10500305385036418,0.0003853192707675466,-0.01336,0.00999999999839929,0.00024834516,114884.35587807909,114884.35587807909,115236.02862315087,1169999704482765.8,0.9748158170283925
4.0,2.0,0.08391,15497.91067,-857.904,-422.165,-27142.446,0.00047,-0.00012,0.01667,-0.11113,,0.0,-0.00144,-0.00453,22.87588,-5.44421,15497.91067,-0.11113,-0.10258612841564564,0.0003853192707675466,0.01667,0.014999999999417923,0.00024760527,114542.0831071073,114542.0831071073,114487.69465041223,1754999556936970.2,0.9617892058660329
4.0,2.0,0.12038,15497.91567,-857.904,-422.165,-27142.446,0.00024,1e-05,0.05314,-0.09859,,0.0,-0.00146,-0.00451,22.87585,-5.40774,15497.91567,-0.09859,-0.09978388371015956,0.0003853192707675466,0.05314,0.019999999998617568,0.00024680173,114170.36587564497,114170.36587564497,113770.88662000882,2339999409178353.5,0.9476419635281151
4.0,2.0,0.16371,15497.92067,-857.904,-422.16415,-27142.44679,0.00082,0.00039,0.09647,-0.08343,,0.0,-0.00146,-0.00454,22.87581,-5.36441,15497.92067,-0.08343,-0.09659631973390592,0.0003853192707675466,0.09647,0.024999999999636202,0.0002452197,113438.5195311066,113438.5195311066,113084.23261029742,2924999261632558.0,0.9197885128027533
4.0,2.0,0.21042,15497.92567,-857.904,-422.164,-27142.447,0.00045,-0.00039,0.14318,-0.09956,,0.0,-0.00148,-0.00455,22.87578,-5.3177,15497.92567,-0.09956,-0.09302343648688474,0.0003853192707675466,0.14318,0.029999999998835847,0.00024384557000000002,112802.84763018152,112802.84763018152,112426.42064341962,3509999113873940.5,0.8955953797741507
4.0,2.0,0.26121,15497.93067,-857.904,-422.16485,-27142.447,0.0002,-0.00022,0.19396,-0.10261,,0.0,-0.00148,-0.00454,22.87572,-5.26691,15497.93067,-0.10261,-0.08906523396909602,0.0003853192707675466,0.19396,0.03499999999985448,0.0002429819,112403.31428859668,112403.31428859668,111796.1960627602,4094998966328145.5,0.8803894798936343
4.0,2.0,0.31873,15497.93567,-857.90399,-422.165,-27142.447,0.00028,-0.00027,0.2515,-0.08347,,0.0,-0.00148,-0.00455,22.87582,-5.20939,15497.93567,-0.08347,-0.08472171218053975,0.0003853192707675466,0.2515,0.039999999999054126,0.00024135952,111652.8020527654,111652.8020527654,111192.35902889502,4679998818569528.0,0.851825621188166
4.0,2.0,0.3801,15497.94067,-857.9031,-422.16415,-27142.447,-7e-05,-0.00016,0.31287,-0.08758,,0.0,-0.00149,-0.00454,22.87568,-5.14802,15497.94067,-0.08758,-0.07999287112121593,0.0003853192707675466,0.31287,0.04499999999825377,0.00023980178999999998,110932.19687696102,110932.19687696102,110613.76212155586,5264998670810911.0,0.8243999998039836
4.0,2.0,0.44365,15497.94567,-857.90301,-422.164,-27142.447,-0.00031,0.00019,0.37641,-0.08259,,0.0,-0.00149,-0.00455,22.87592,-5.08447,15497.94567,-0.08259,-0.07487871079112457,0.0003853192707675466,0.37641,0.049999999999272404,0.00023908776,110601.88693000001,110601.88693000001,110059.30804872717,5849998523265116.0,0.8118286835701388
4.0,2.0,0.51336,15497.95067,-857.9039,-422.164,-27142.44621,-0.00024,0.00047,0.44614,-0.06034,,0.0,-0.00147,-0.00454,22.87594,-5.01476,15497.95067,-0.06034,-0.06937923119026565,0.0003853192707675466,0.44614,0.05499999999847205,0.00023777412999999997,109994.20230102589,109994.20230102589,109527.94745577012,6434998375506499.0,0.7887007223580523
4.0,2.0,0.58674,15497.95567,-857.90399,-422.164,-27142.446,-5e-05,0.0004,0.51952,-0.06362,,0.0,-0.0015,-0.00453,22.87577,-4.94138,15497.95567,-0.06362,-0.06349443231863922,0.0003853192707675466,0.51952,0.05999999999949068,0.00023607587999999999,109208.5926383695,109208.5926383695,109018.6768284031,7019998227960703.0,0.7588010853762348
4.0,2.0,0.66148,15497.96067,-857.9031,-422.16315,-27142.44679,-4e-05,-0.00041,0.59427,-0.05719,,0.0,-0.00147,-0.00455,22.87581,-4.86664,15497.96067,-0.05719,-0.05722431417624626,0.0003853192707675638,0.59427,0.06499999999869033,0.00023525353,108828.17390962786,108828.17390962786,108530.5364902443,7604998080202086.0,0.7443226714371812
4.0,2.0,0.74131,15497.96567,-857.903,-422.16301,-27142.447,1e-05,-0.00053,0.67411,-0.03997,,0.0,-0.00146,-0.00453,22.87593,-4.78681,15497.96567,-0.03997,-0.05004256704980935,0.0003572885352195848,0.67411,0.06999999999970896,0.00023433099,108401.40733333636,108401.40733333636,108062.60868493892,8189997932656291.0,0.7280802977576839
4.0,2.0,0.82486,15497.97067,-857.903,-422.16556,-27142.447,3e-05,-0.00051,0.75765,-0.04475,,0.0,-0.0015,-0.00455,22.87567,-4.70326,15497.97067,-0.04475,-0.04304245977011573,0.0003592508104922027,0.75765,0.0749999999989086,0.00023276758,107678.1745921654,107678.1745921654,107614.01574497865,8774997784897674.0,0.7005546734657697
4.0,2.0,0.90971,15497.97567,-857.90304,-422.16599,-27142.447,-0.00035,-0.00043,0.84251,-0.04194,,0.0,-0.00152,-0.00458,22.87588,-4.61841,15497.97567,-0.04194,-0.03488678160919604,0.0003181600774704327,0.84251,0.07999999999992724,0.00023178982,107225.86326947501,107225.86326947501,107183.91833785803,9359997637351878.0,0.6833400884191968
4.0,2.0,0.9979,15497.98067,-857.90487,-422.16429,-27142.447,-0.00031,0.00034,0.93069,-0.04056,,0.0,-0.0015,-0.00453,22.87581,-4.53022,15497.98067,-0.04056,-0.02653908812260585,0.00028189912003705897,0.93069,0.08499999999912689,0.00023124151,106972.2153176828,106972.2153176828,106771.5137915212,9944997489593262.0,0.6736864626553221
4.0,2.0,1.08926,15497.98567,-857.90498,-422.164,-27142.447,-0.00028,0.00027,1.02207,-0.01056,,0.0,-0.00152,-0.00454,22.87564,-4.43886,15497.98567,-0.01056,-0.017946988505747455,0.0002431485832175541,1.02207,0.08999999999832653,0.00022996949,106383.77945541742,106383.77945541742,106376.03449065884,1.0529997341834644e+16,0.6512910931669594
4.0,2.0,1.18356,15497.99067,-857.90406,-422.164,-27142.44779,-0.00031,8e-05,1.11639,0.00084,,0.0,-0.00154,-0.00453,22.87596,-4.34455,15497.99067,0.00084,-0.008579356321839237,0.00017986888973096124,1.11639,0.09499999999934516,0.00022883516,105859.03892331613,105859.03892331613,105996.74634468112,1.1114997194288848e+16,0.6313199138838237
4.0,2.0,1.27843,15497.99567,-857.90398,-422.164,-27142.448,-0.00013,-0.00029,1.21126,0.003,,0.0,-0.00154,-0.00453,22.87579,-4.24969,15497.99567,0.003,0.00042370114942529447,0.0001516728558797523,1.21126,0.09999999999854481,0.00022844227,105677.288191468,105677.288191468,105632.94732258243,1.1699997046530232e+16,0.6244026352889254
4.0,2.0,1.37681,15498.00067,-857.90306,-422.164,-27142.448,0.00011,-0.00082,1.30964,0.01776,,0.0,-0.00149,-0.00452,22.87578,-4.15131,15498.00067,0.01776,0.009018804597701312,0.00015202964085722442,1.30964,0.10499999999956344,0.00022748832,105235.99136373882,105235.99136373882,105283.96605054139,1.2284996898984436e+16,0.6076072525721254
4.0,2.0,1.47862,15498.00567,-857.90302,-422.16401,-27142.448,-0.00044,-0.00061,1.41145,0.01237,,0.0,-0.0015,-0.00457,22.87581,-4.0495,15498.00567,0.01237,0.018232237547893052,0.00012603124078985602,1.41145,0.10999999999876309,0.00022631221,104691.92342300761,104691.92342300761,104949.16047280503,1.2869996751225818e+16,0.5869004885204925
4.0,2.0,1.58001,15498.01067,-857.90394,-422.1649,-27142.448,-0.00045,-0.00044,1.51284,0.01244,,0.0,-0.00155,-0.00452,22.87571,-3.94811,15498.01067,0.01244,0.02814862835249093,6.495364405708402e-05,1.51284,0.11499999999978172,0.00022599714,104546.17218708055,104546.17218708055,104627.91656908914,1.3454996603680024e+16,0.5813533201861124
4.0,2.0,1.68348,15498.01567,-857.904,-422.165,-27142.448,-0.00013,-6e-05,1.61632,0.03054,,0.0,-0.00153,-0.00455,22.87588,-3.84464,15498.01567,0.03054,0.036890329501916376,6.682674413707782e-05,1.61632,0.11999999999898137,0.00022542804,104282.906790927,104282.906790927,104319.64713000238,1.4039996455921406e+16,0.5713336626525618
4.0,2.0,1.79109,15498.02067,-857.904,-422.165,-27142.448,-0.00017,0.00063,1.72395,0.05591,,0.0,-0.00154,-0.00451,22.87578,-3.73703,15498.02067,0.05591,0.04636572413793188,3.4255736600550266e-05,1.72395,0.125,0.00022423841999999998,103732.58913045927,103732.58913045927,104023.79058414046,1.462499630837561e+16,0.5503890395721489
4.0,2.0,1.89772,15498.02567,-857.904,-422.165,-27142.448,0.0002,-0.00043,1.83058,0.0563,,0.0,-0.0015,-0.00454,22.87587,-3.6304,15498.02567,0.0563,0.055697011494253885,1.5971538040487123e-05,1.83058,0.12999999999919964,0.00022379985999999998,103529.71147778469,103529.71147778469,103739.80987825357,1.5209996160616994e+16,0.5426676883018731
4.0,2.0,2.00598,15498.03067,-857.904,-422.16415,-27142.448,0.0003,-0.00102,1.93884,0.06827,,0.0,-0.00151,-0.00452,22.8758,-3.52214,15498.03067,0.06827,0.06514363984674448,-7.09191191951755e-06,1.93884,0.1349999999983993,0.00022362709,103449.78815588444,103449.78815588444,103467.19140474933,1.5794996012858376e+16,0.5396258745045239
4.0,2.0,2.11795,15498.03567,-857.904,-422.164,-27142.448,0.00016,-0.0003,2.05082,0.07884,,0.0,-0.00151,-0.00452,22.87573,-3.41017,15498.03567,0.07884,0.07463113409961822,-2.755875542084652e-05,2.05082,0.13999999999941792,0.00022255304,102952.93312383609,102952.93312383609,103205.44397715872,1.6379995865312582e+16,0.5207159936858453
4.0,2.0,2.23035,15498.04067,-857.904,-422.164,-27142.448,0.00047,-0.00022,2.16324,0.09025,,0.0,-0.00154,-0.00452,22.87571,-3.29777,15498.04067,0.09025,0.08406577011494405,-4.098387436320995e-05,2.16324,0.14499999999861757,0.00022185291999999999,102629.0579364261,102629.0579364261,102954.09785033508,1.6964995717553964e+16,0.5083895789390701
4.0,2.0,2.34322,15498.04567,-857.90398,-422.164,-27142.448,0.00048,-0.00031,2.27609,0.08456,,0.0,-0.00155,-0.00454,22.87584,-3.1849,15498.04567,0.08456,0.09337268965517412,-5.1529451391548354e-05,2.27609,0.1499999999996362,0.00022191706,102658.7290706895,102658.7290706895,102712.70378257791,1.7549995570008168e+16,0.5095188371260356
4.0,2.0,2.46017,15498.05067,-857.90306,-422.16485,-27142.44885,0.00022,0.00021,2.39306,0.10166,,0.0,-0.00154,-0.00452,22.8758,-3.06795,15498.05067,0.10166,0.10149334865900567,-4.359479600889334e-06,2.39306,0.15499999999883585,0.00022118185,102318.62126554795,102318.62126554795,102480.83214012114,1.813499542224955e+16,0.49657462272568104
4.0,2.0,2.57782,15498.05567,-857.903,-422.165,-27142.449,0.00092,0.00014,2.51072,0.11767,,0.0,-0.00156,-0.00449,22.87571,-2.9503,15498.05567,0.11767,0.10997177777777978,2.3738705738672887e-05,2.51072,0.15999999999985448,0.00022031494,101917.58910146524,101917.58910146524,102258.07203937,1.8719995274703756e+16,0.48131167893300764
4.0,2.0,2.69567,15498.06067,-857.903,-422.16585,-27142.44821,0.00097,-0.0004,2.62857,0.12043,,0.0,-0.00154,-0.00454,22.87584,-2.83245,15498.06067,0.12043,0.11932431417624739,1.124971580140487e-05,2.62857,0.16499999999905413,0.00022032216,101920.9290701179,101920.9290701179,102044.03052798708,1.930499512694514e+16,0.4814387953051604
4.0,2.0,2.81633,15498.06567,-857.90301,-422.166,-27142.448,0.00081,-0.00087,2.74923,0.12975,,0.0,-0.00153,-0.00454,22.87583,-2.71179,15498.06567,0.12975,0.12839820689655407,1.9082312323653232e-05,2.74923,0.16999999999825377,0.00021995086,101749.16586226023,101749.16586226023,101838.33180055967,1.9889994979186524e+16,0.47490163339652014
4.0,2.0,2.93839,15498.07067,-857.9039,-422.16515,-27142.448,0.00094,-0.00071,2.87131,0.144,,0.0,-0.00149,-0.00455,22.87576,-2.58972,15498.07067,0.144,0.13794737164751208,6.43585533236608e-06,2.87131,0.1749999999992724,0.00021909349,101352.54689775458,101352.54689775458,101640.61644936548,2.047499483164073e+16,0.45980665223408745
4.0,2.0,3.06035,15498.07567,-857.90399,-422.165,-27142.448,0.00041,-0.00032,2.99326,0.13014,,0.0,-0.00152,-0.00457,22.8758,-2.46777,15498.07567,0.13014,0.14722442911877662,1.07086859500214e-05,2.99326,0.17999999999847205,0.00021895419,101288.10678233692,101288.10678233692,101450.54074785102,2.1059994683882108e+16,0.457354116134239
4.0,2.0,3.18346,15498.08067,-857.9031,-422.165,-27142.448,-4e-05,-0.00028,3.11638,0.15497,,0.0,-0.00152,-0.00457,22.87588,-2.34466,15498.08067,0.15497,0.15576314942529018,4.996943286593832e-05,3.11638,0.18499999999949068,0.00021882702,101229.27799929555,101229.27799929555,101267.7759647464,2.1644994536336316e+16,0.45511514258206615
4.0,2.0,3.30868,15498.08567,-857.903,-422.165,-27142.448,0.0007,0.0001,3.24161,0.16882,,0.0,-0.00156,-0.00461,22.87584,-2.21944,15498.08567,0.16882,0.16418807662835547,9.112567891873379e-05,3.24161,0.18999999999869033,0.00021800832,100850.54775886169,100850.54775886169,101092.00770919539,2.2229994388577696e+16,0.44070099107491806
4.0,2.0,3.43365,15498.09067,-857.90379,-422.165,-27142.448,0.00057,-0.00011,3.36659,0.17335,,0.0,-0.00156,-0.00457,22.87586,-2.09446,15498.09067,0.17335,0.17342065900383458,9.174872636936429e-05,3.36659,0.19499999999970896,0.00021763786,100679.17313461457,100679.17313461457,100922.93530345419,2.28149942410319e+16,0.43417861832868854
4.0,2.0,3.558,15498.09567,-857.904,-422.16499,-27142.448,0.00034,-0.00032,3.49094,0.17898,,0.0,-0.00157,-0.00454,22.87575,-1.97012,15498.09567,0.17898,0.18260573180076958,0.00010047038019446312,3.49094,0.1999999999989086,0.00021778236999999998,100746.02339361675,100746.02339361675,100760.27118403657,2.3399994093273284e+16,0.43672288244777707
4.0,2.0,3.68576,15498.10067,-857.904,-422.1641,-27142.448,0.00068,-0.00027,3.61871,0.19943,,0.0,-0.00155,-0.00451,22.87571,-1.84236,15498.10067,0.19943,0.19213064367816443,9.358073344274524e-05,3.61871,0.20499999999992724,0.00021719061,100472.27549196886,100472.27549196886,100603.74032805856,2.398499394572749e+16,0.4263042696520403
4.0,2.0,3.81261,15498.10567,-857.904,-422.16401,-27142.448,0.00023,-0.00061,3.74556,0.19899,,0.0,-0.00151,-0.00451,22.87585,-1.71551,15498.10567,0.19899,0.20202409195402668,6.953543008709334e-05,3.74556,0.20999999999912689,0.00021661571,100206.32701850431,100206.32701850431,100453.07970560777,2.456999379796887e+16,0.41618249647326994
4.0,2.0,3.93856,15498.11067,-857.904,-422.1649,-27142.448,-0.00039,-0.00025,3.87151,0.20071,,0.0,-0.00151,-0.00455,22.87586,-1.58956,15498.11067,0.20071,0.21249289655172798,1.5777525156771607e-05,3.87151,0.21499999999832653,0.00021680797999999997,100295.27103136398,100295.27103136398,100308.03775519732,2.5154993650210256e+16,0.419567630112306
4.0,2.0,4.06698,15498.11567,-857.904,-422.16499,-27142.448,-0.00043,0.0002,3.99995,0.21733,,0.0,-0.00151,-0.00452,22.87579,-1.46114,15498.11567,0.21733,0.2214740536398508,4.370030735541318e-05,3.99995,0.21999999999934516,0.00021651568000000002,100160.0531868803,100160.0531868803,100168.3738827192,2.573999350266446e+16,0.4144213537161429
