Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
3.0,2.0,0.00575,15476.216,-357.90696,-422.161,-27143.51202,-0.00038,-0.0004,-0.04336,-0.10242,,0.0,-0.00154,-0.00456,22.87321,5.07839,15476.216,-0.10242,-0.10348386973180076,0.00035577373584270126,-0.04336,0.0,0.00026459833000000004,122311.51825992756,122311.51825992756,123417.05523341165,0.0,1.0
3.0,2.0,0.02548,15476.221,-357.90604,-422.161,-27143.5138,-0.00051,0.0002,-0.02362,-0.09559,,0.0,-0.0016,-0.00455,22.8733,5.09812,15476.221,-0.09559,-0.10079764094143404,0.00035577373584270126,-0.02362,0.005000000001018634,0.00026388767999999997,121983.01777222069,121983.01777222069,122684.71461500341,584416555221395.6,0.988029892230455
3.0,2.0,0.05065,15476.226,-357.906,-422.161,-27143.514,-0.00047,0.00033,0.00154,-0.09795,,0.0,-0.00158,-0.00459,22.87344,5.12328,15476.226,-0.09795,-0.09775563841522462,0.00035577373584270126,0.00154,0.010000000000218279,0.00026305783,121599.41666095139,121599.41666095139,121980.65929232302,1168833110230181.8,0.9740519932189087
3.0,2.0,0.08055,15476.231,-357.906,-422.161,-27143.51485,-0.00052,-0.00043,0.03144,-0.09668,,0.0,-0.00158,-0.00455,22.87344,5.15319,15476.231,-0.09668,-0.09435786215317249,0.00035577373584270126,0.03144,0.015000000001236913,0.00026273188,121448.7451152284,121448.7451152284,121303.75468069747,1753249665451577.5,0.9685617284929775
3.0,2.0,0.11849,15476.236,-357.906,-422.161,-27143.515,-0.0002,-0.00019,0.06938,-0.09207,,0.0,-0.0016,-0.00457,22.87335,5.19113,15476.236,-0.09207,-0.09060431215527767,0.00035577373584270126,0.06938,0.020000000000436557,0.00026158537000000004,120918.76679374698,120918.76679374698,120652.91192621012,2337666220460363.5,0.9492500444588409
3.0,2.0,0.16116,15476.241,-357.906,-422.161,-27143.51415,-1e-05,-0.00028,0.11206,-0.08473,,0.0,-0.00162,-0.00457,22.87337,5.2338,15476.241,-0.08473,-0.08649498842154013,0.00035577373584270126,0.11206,0.024999999999636202,0.00026008853,120226.84718491122,120226.84718491122,120027.0860595232,2922082775469149.5,0.9240374417517919
3.0,2.0,0.20709,15476.246,-357.906,-422.16103,-27143.514,-0.0002,-0.00062,0.15799,-0.08168,,0.0,-0.00162,-0.00454,22.87338,5.27973,15476.246,-0.08168,-0.08202989095195991,0.00035577373584270126,0.15799,0.030000000000654836,0.00025930215000000004,119863.3402356072,119863.3402356072,119425.27422662795,3506499330690545.5,0.9107917464758989
3.0,2.0,0.25884,15476.251,-357.906,-422.1637,-27143.514,-0.00023,-0.00035,0.20974,-0.08333,,0.0,-0.00159,-0.00458,22.87339,5.33148,15476.251,-0.08333,-0.07720901974653697,0.00035577373584270126,0.20974,0.03499999999985448,0.00025834441,119420.62151739662,119420.62151739662,118846.51399082928,4090915885699331.5,0.8946596828507625
3.0,2.0,0.31657,15476.256,-357.906,-422.16396,-27143.51402,2e-05,0.00039,0.26747,-0.07985,,0.0,-0.00162,-0.00455,22.87343,5.38921,15476.256,-0.07985,-0.07203237480527135,0.00035577373584270126,0.26747,0.040000000000873115,0.00025661133,118619.49912911127,118619.49912911127,118289.88170112086,4675332440920727.0,0.8654678804540253
3.0,2.0,0.37668,15476.261,-357.906,-422.16213,-27143.5158,-1e-05,0.00049,0.32758,-0.07051,,0.0,-0.00159,-0.00457,22.87334,5.44931,15476.261,-0.07051,-0.06649995612816301,0.00035577373584270126,0.32758,0.04500000000007276,0.00025553979000000004,118124.17595652647,118124.17595652647,117754.49092951255,5259748995929513.0,0.8474189825726822
3.0,2.0,0.44114,15476.266,-357.906,-422.162,-27143.51599,-7e-05,-0.00026,0.39206,-0.05467,,0.0,-0.00161,-0.00459,22.87347,5.51378,15476.266,-0.05467,-0.06061176371521198,0.00035577373584270126,0.39206,0.050000000001091394,0.00025487561,117817.156391445,117817.156391445,117239.49096815201,5844165551150909.0,0.8362316101975664
3.0,2.0,0.51104,15476.271,-357.906,-422.162,-27143.51429,2e-05,-0.00028,0.46197,-0.04948,,0.0,-0.00158,-0.00455,22.87334,5.58368,15476.271,-0.04948,-0.05436779756641824,0.00035577373584270126,0.46197,0.05500000000029104,0.00025324183,117061.93578100992,117061.93578100992,116744.06539018406,6428582106159695.0,0.8087124057062907
3.0,2.0,0.58366,15476.276,-357.906,-422.162,-27143.51402,9e-05,-0.0003,0.53458,-0.05183,,0.0,-0.00155,-0.00457,22.8735,5.65629,15476.276,-0.05183,-0.04776805768178181,0.00035577373584270126,0.53458,0.06000000000130967,0.00025195172000000004,116465.57784926367,116465.57784926367,116267.43066566404,7012998661381091.0,0.7869819396054452
3.0,2.0,0.65862,15476.281,-357.90685,-422.162,-27143.5158,-0.00024,-0.00046,0.60954,-0.04556,,0.0,-0.00156,-0.00459,22.87353,5.73125,15476.281,-0.04556,-0.04081254406130343,0.0003557737358427137,0.60954,0.06500000000050932,0.00025143144,116225.07657051305,116225.07657051305,115808.8348361842,7597415216389877.0,0.7782184024629157
3.0,2.0,0.73867,15476.286,-357.907,-422.162,-27143.51599,-0.00017,-0.00032,0.6896,-0.03173,,0.0,-0.00155,-0.00458,22.87352,5.81131,15476.286,-0.03173,-0.03305511877394697,0.0003298024504231501,0.6896,0.06999999999970896,0.00025015213,115633.71097714323,115633.71097714323,115367.55624034588,8181831771398663.0,0.7566698503336601
3.0,2.0,0.82202,15476.291,-357.907,-422.162,-27143.5151,-0.00013,0.00024,0.77296,-0.01987,,0.0,-0.00156,-0.00455,22.87355,5.89466,15476.291,-0.01987,-0.02438631417624566,0.00026951218896047223,0.77296,0.0750000000007276,0.00024876554000000003,114992.75482256725,114992.75482256725,114942.90229237212,8766248326620059.0,0.733314286086603
3.0,2.0,0.90652,15476.296,-357.907,-422.16198,-27143.515,-0.0002,0.0002,0.85746,-0.01341,,0.0,-0.00158,-0.00456,22.87331,5.97916,15476.296,-0.01341,-0.015792314176245503,0.00022662085806913871,0.85746,0.07999999999992724,0.00024819602,114729.49217884836,114729.49217884836,114534.20830989661,9350664881628844.0,0.7237213559847087
3.0,2.0,0.99492,15476.301,-357.907,-422.16106,-27143.51585,0.00013,-4e-05,0.94587,0.00027,,0.0,-0.00157,-0.00456,22.87366,6.06756,15476.301,0.00027,-0.007085103448275994,0.00018804370342301598,0.94587,0.08500000000094587,0.00024734261,114335.00037386155,114335.00037386155,114140.8363875511,9935081436850240.0,0.7093466150129137
3.0,2.0,1.08732,15476.306,-357.90698,-422.161,-27143.516,0.00036,-0.00041,1.03828,0.00569,,0.0,-0.00158,-0.00459,22.8733,6.15996,15476.306,0.00569,0.0013481072796935087,0.00017539817270851717,1.03828,0.09000000000014552,0.00024591959,113677.20432233604,113677.20432233604,113762.17431820372,1.0519497991859026e+16,0.6853774279894618
3.0,2.0,1.17993,15476.311,-357.90606,-422.161,-27143.516,0.00027,-0.0003,1.13089,0.00907,,0.0,-0.00156,-0.00456,22.87346,6.25257,15476.311,0.00907,0.010226896551724322,0.0001511767925560999,1.13089,0.09500000000116415,0.00024526910000000003,113376.51300840032,113376.51300840032,113397.63455542263,1.1103914547080422e+16,0.6744206484172246
3.0,2.0,1.27539,15476.316,-357.90598,-422.161,-27143.51599,-7e-05,-0.00033,1.22635,0.00931,,0.0,-0.00159,-0.00455,22.87346,6.34803,15476.316,0.00931,0.019847969348659362,9.587891036166303e-05,1.22635,0.1000000000003638,0.00024484773000000003,113181.73322861416,113181.73322861416,113046.65321999356,1.1688331102089208e+16,0.6673231400645157
3.0,2.0,1.37495,15476.321,-357.90506,-422.161,-27143.51429,-5e-05,0.00015,1.32592,0.0206,,0.0,-0.00155,-0.00458,22.87354,6.44759,15476.321,0.0206,0.02858816091954075,9.518883415434293e-05,1.32592,0.10499999999956344,0.00024349068000000004,112554.43204400488,112554.43204400488,112708.68914451136,1.2272747657097994e+16,0.6444651442175313
3.0,2.0,1.47533,15476.326,-357.90504,-422.16099,-27143.514,-0.00017,7e-05,1.4263,0.02805,,0.0,-0.00159,-0.00457,22.87326,6.54797,15476.326,0.02805,0.03712007662835316,0.00011199991579300807,1.4263,0.11000000000058208,0.00024265176000000003,112166.63829300646,112166.63829300646,112383.22295783227,1.285716421231939e+16,0.6303344711576203
3.0,2.0,1.57644,15476.331,-357.90687,-422.1601,-27143.51485,-0.00042,0.00011,1.52742,0.05024,,0.0,-0.00156,-0.00457,22.87342,6.64908,15476.331,0.05024,0.04600835249042229,0.00011459643804470043,1.52742,0.11499999999978172,0.00024251418,112103.04144913293,112103.04144913293,112069.75620638805,1.3441580767328176e+16,0.6280170892861868
3.0,2.0,1.68165,15476.336,-357.907,-422.16004,-27143.51501,-0.0003,-0.00037,1.63265,0.06117,,0.0,-0.00156,-0.0046,22.87359,6.75429,15476.336,0.06117,0.055317892720307515,0.00010198644267608143,1.63265,0.12000000000080036,0.00024155805,111661.06695914328,111661.06695914328,111767.81050980488,1.4025997322549572e+16,0.6119121443179268
3.0,2.0,1.78783,15476.341,-357.90615,-422.16187,-27143.5159,-0.00021,-0.00041,1.73883,0.07572,,0.0,-0.00154,-0.00461,22.87335,6.86047,15476.341,0.07572,0.06503642911877514,7.605178729314715e-05,1.73883,0.125,0.00024052155000000002,111181.94115106878,111181.94115106878,111476.92675228014,1.4610413877558358e+16,0.5944534562110784
