Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
8.0,2.0,0.01418,15584.706,-357.90504,77.837,-27145.978,-0.0001,-0.00032,-0.11893,-0.25804,,0.0,-0.00151,-0.00454,22.88541,-15.7808,15584.706,-0.25804,-0.2618304159824849,0.00034438499431602794,-0.11893,0.0,0.0002568688,117820.75676367742,117820.75676367742,118853.00633895246,0.0,1.0
8.0,2.0,0.03281,15584.711,-357.90687,77.837,-27145.978,-0.00015,-3e-05,-0.1003,-0.25459,,0.0,-0.00146,-0.00452,22.88535,-15.76217,15584.711,-0.25459,-0.26178572902193586,0.00034438499431602794,-0.1003,0.005000000001018634,0.00025631244000000005,117565.56517858405,117565.56517858405,118147.35765863981,578401530785224.5,0.9905456583484173
8.0,2.0,0.05854,15584.716,-357.907,77.837,-27145.978,-0.00044,-3e-05,-0.07457,-0.26759,,0.0,-0.00147,-0.00456,22.88543,-15.73644,15584.716,-0.26759,-0.26139665706707077,0.00034438499431602794,-0.07457,0.010000000000218279,0.00025525444000000004,117080.28101540045,117080.28101540045,117469.24175944377,1156803061360027.8,0.9725668434311415
8.0,2.0,0.0886,15584.721,-357.90785,77.837,-27145.978,-0.00039,7e-05,-0.04451,-0.26634,,0.0,-0.00146,-0.00456,22.88541,-15.70638,15584.721,-0.26634,-0.2606632001178897,0.00034438499431602794,-0.04451,0.015000000001236913,0.00025497862,116953.7677092669,116953.7677092669,116817.54048317666,1735204592145252.2,0.9678797765781327
8.0,2.0,0.12573,15584.726,-357.90798,77.837,-27145.978,-0.00011,0.00052,-0.00737,-0.25363,,0.0,-0.00145,-0.00456,22.8854,-15.66925,15584.726,-0.25363,-0.25958535817439254,0.00034438499431602794,-0.00737,0.020000000000436557,0.0002539016,116459.75943948241,116459.75943948241,116191.18132406296,2313606122720055.5,0.9495777508293572
8.0,2.0,0.16895,15584.731,-357.90706,77.837,-27145.97715,-0.00031,-2e-05,0.03584,-0.26104,,0.0,-0.00145,-0.00453,22.88548,-15.62603,15584.731,-0.26104,-0.2581631312365794,0.00034438499431602794,0.03584,0.02500000000145519,0.000252399,115770.54584439767,115770.54584439767,115589.13556153393,2892007653505280.0,0.9240437552767123
8.0,2.0,0.21459,15584.736,-357.907,77.837,-27145.977,0.00018,-0.00039,0.08148,-0.26233,,0.0,-0.00141,-0.00454,22.88546,-15.58039,15584.736,-0.26233,-0.25639651930445023,0.00034438499431602794,0.08148,0.030000000000654836,0.00025166810999999997,115435.30071960631,115435.30071960631,115010.4164729707,3470409184080083.0,0.9116235888921301
8.0,2.0,0.26712,15584.741,-357.907,77.837,-27145.97621,0.00038,3e-05,0.13402,-0.25362,,0.0,-0.00145,-0.00454,22.88547,-15.52786,15584.741,-0.25362,-0.254285522378005,0.00034438499431602794,0.13402,0.03499999999985448,0.00025063881,114963.18069204029,114963.18069204029,114454.07761617732,4048810714654886.5,0.8941324790676013
8.0,2.0,0.32506,15584.746,-357.907,77.837,-27145.976,3e-05,-8e-05,0.19195,-0.25767,,0.0,-0.0015,-0.00452,22.88538,-15.46992,15584.746,-0.25767,-0.2518301404572438,0.00034438499431602794,0.19195,0.040000000000873115,0.00024912199,114267.44465763564,114267.44465763564,113919.21118422571,4627212245440111.0,0.8683568400857281
8.0,2.0,0.38384,15584.751,-357.907,77.837,-27145.97685,0.00029,-0.00028,0.25074,-0.24596,,0.0,-0.00151,-0.00456,22.88549,-15.41114,15584.751,-0.24596,-0.2490303735421665,0.00034438499431602794,0.25074,0.04500000000007276,0.00024794791,113728.91684070692,113728.91684070692,113404.94642741069,5205613776014914.0,0.8484054534901941
8.0,2.0,0.44937,15584.756,-357.907,77.837,-27145.977,0.00021,0.00011,0.31628,-0.24348,,0.0,-0.00151,-0.00455,22.88548,-15.3456,15584.756,-0.24348,-0.2458862216327732,0.00034438499431602794,0.31628,0.050000000001091394,0.00024714048,113358.56429639756,113358.56429639756,112910.4481378232,5784015306800138.0,0.8346846269035632
8.0,2.0,0.5192,15584.761,-357.907,77.837,-27145.977,0.00024,0.00045,0.38611,-0.24429,,0.0,-0.00152,-0.00452,22.8853,-15.27577,15584.761,-0.24429,-0.2423976847290639,0.00034438499431602794,0.38611,0.05500000000029104,0.00024595685999999995,112815.66066574787,112815.66066574787,112434.91519863719,6362416837374942.0,0.8145711250960145
8.0,2.0,0.59132,15584.766,-357.90698,77.837,-27145.977,0.00032,2e-05,0.45823,-0.24067,,0.0,-0.00152,-0.00453,22.88532,-15.20366,15584.766,-0.24067,-0.23856476283103856,0.00034438499431602794,0.45823,0.06000000000130967,0.00024446478,112131.27239145397,112131.27239145397,111977.57918980182,6940818368160166.0,0.7892158981000145
8.0,2.0,0.66684,15584.771,-357.90606,77.837,-27145.97779,0.00022,-0.00085,0.53375,-0.23108,,0.0,-0.0015,-0.00456,22.8856,-15.12814,15584.771,-0.23108,-0.2343874559387016,0.0003443849943160984,0.53375,0.06500000000050932,0.00024380137,111826.97903918779,111826.97903918779,111537.70305347817,7519219898734969.0,0.7779424334456954
8.0,2.0,0.7467,15584.776,-357.90602,77.837,-27145.978,0.00033,-0.00017,0.61362,-0.21916,,0.0,-0.00148,-0.00452,22.88535,-15.04827,15584.776,-0.21916,-0.22965098850575127,0.0003336833817524161,0.61362,0.07000000000152795,0.00024289596999999997,111411.68954831215,111411.68954831215,111114.57981135117,8097621429520194.0,0.7625567821922911
8.0,2.0,0.82977,15584.781,-357.90694,77.837,-27145.97885,9e-05,0.00061,0.69668,-0.23068,,0.0,-0.00149,-0.00453,22.88554,-14.9652,15584.781,-0.23068,-0.22382041379310752,0.0002828829944003027,0.69668,0.0750000000007276,0.00024144021999999998,110743.9651432512,110743.9651432512,110707.53133691703,8676022960094997.0,0.7378189184722308
8.0,2.0,0.91504,15584.786,-357.907,77.837,-27145.979,-0.00014,-0.00024,0.78196,-0.22577,,0.0,-0.00147,-0.00456,22.88541,-14.87994,15584.786,-0.22577,-0.2184678314176285,0.00027378687213176506,0.78196,0.07999999999992724,0.00024075745,110430.79173295171,110430.79173295171,110315.90717561833,9254424490669800.0,0.726216465295418
8.0,2.0,1.0031,15584.791,-357.907,77.837,-27145.97815,8e-05,-0.00014,0.87002,-0.21491,,0.0,-0.00148,-0.00453,22.88542,-14.79188,15584.791,-0.21491,-0.2130927356321878,0.0002762440318303024,0.87002,0.08500000000094587,0.00024008614,110122.87480328558,110122.87480328558,109939.0834147287,9832826021455024.0,0.7148087542915272
8.0,2.0,1.09536,15584.796,-357.907,77.837,-27145.978,-0.00011,0.0001,0.96229,-0.20237,,0.0,-0.0015,-0.00454,22.88544,-14.69962,15584.796,-0.20237,-0.2064271340996206,0.000221993431855563,0.96229,0.09000000000014552,0.00023881642,109540.47876578326,109540.47876578326,109576.46159933774,1.0411227552029828e+16,0.6932321372057398
8.0,2.0,1.18819,15584.801,-357.907,77.837,-27145.978,0.00035,-0.00017,1.05512,-0.20153,,0.0,-0.00148,-0.00451,22.88544,-14.60678,15584.801,-0.20153,-0.20072679693486956,0.00023632908088086404,1.05512,0.09500000000116415,0.00023803238,109180.85476266185,109180.85476266185,109227.4676913162,1.0989629082815052e+16,0.6799087817730929
8.0,2.0,1.28404,15584.806,-357.907,77.837,-27145.978,0.00044,-0.00045,1.15098,-0.19361,,0.0,-0.0015,-0.00456,22.88559,-14.51093,15584.806,-0.19361,-0.1948669961685859,0.00025732466001437396,1.15098,0.1000000000003638,0.00023754674,108958.10107550828,108958.10107550828,108891.55107278663,1.1568030613389856e+16,0.6716561998483046
8.0,2.0,1.38309,15584.811,-357.907,77.837,-27145.97879,0.00019,-0.00015,1.25003,-0.18645,,0.0,-0.00151,-0.00454,22.8855,-14.41189,15584.811,-0.18645,-0.1878590421455973,0.00022842996084380994,1.25003,0.10500000000138243,0.00023658041,108514.86417058465,108514.86417058465,108568.18358828644,1.214643214417508e+16,0.655235152382321
8.0,2.0,1.48297,15584.816,-357.90699,77.837,-27145.979,-8e-05,0.00032,1.34991,-0.18307,,0.0,-0.0015,-0.00453,22.88546,-14.31201,15584.816,-0.18307,-0.1812306743295052,0.00023098682160756483,1.34991,0.11000000000058208,0.00023565384999999997,108089.86899644535,108089.86899644535,108256.85862802566,1.2724833674749884e+16,0.639489924830571
8.0,2.0,1.58503,15584.821,-357.9061,77.837,-27145.979,-2e-05,-3e-05,1.45198,-0.17349,,0.0,-0.00152,-0.00453,22.88539,-14.20994,15584.821,-0.17349,-0.17377862068965835,0.00019873352700944117,1.45198,0.11499999999978172,0.00023523189,107896.3240952195,107896.3240952195,107957.09024683289,1.3303235205324686e+16,0.6323194704425813
8.0,2.0,1.69015,15584.826,-357.906,77.837,-27145.979,-2e-05,-0.00041,1.5571,-0.16827,,0.0,-0.0015,-0.00455,22.88541,-14.10483,15584.826,-0.16827,-0.16636367816092257,0.00018014567807676216,1.5571,0.12000000000080036,0.00023462707999999998,107618.90943100868,107618.90943100868,107668.41232027729,1.388163673610991e+16,0.6220418078243226
8.0,2.0,1.79601,15584.831,-357.90679,77.837,-27145.979,0.00033,-0.00011,1.66297,-0.15397,,0.0,-0.00149,-0.00456,22.88552,-13.99897,15584.831,-0.15397,-0.1594869501915738,0.00020403865100421595,1.66297,0.125,0.00023362520999999997,107159.37101459209,107159.37101459209,107390.37773521408,1.4460038266684714e+16,0.6050168217173557
8.0,2.0,1.90275,15584.836,-357.907,77.837,-27145.979,0.0003,-0.00038,1.76971,-0.1528,,0.0,-0.0015,-0.00457,22.88562,-13.89223,15584.836,-0.1528,-0.15176038314176524,0.00019211275314728144,1.76971,0.13000000000101863,0.00023317449999999998,106952.63904371453,106952.63904371453,107122.55761239788,1.5038439797469938e+16,0.5973578125761789
8.0,2.0,2.01203,15584.841,-357.907,77.83785,-27145.979,1e-05,-0.00062,1.87901,-0.13892,,0.0,-0.0015,-0.00452,22.88543,-13.78294,15584.841,-0.13892,-0.14319590038314436,0.0001407317586628359,1.87901,0.13500000000021828,0.00023288617,106820.3876422299,106820.3876422299,106864.5405623689,1.5616841328044742e+16,0.5924581606810013
8.0,2.0,2.12351,15584.846,-357.907,77.838,-27145.979,-0.00014,-0.00011,1.99048,-0.13877,,0.0,-0.00153,-0.00451,22.88547,-13.67146,15584.846,-0.13877,-0.13463057471264614,9.851711506887929e-05,1.99048,0.1400000000012369,0.00023198330999999999,106406.26320029047,106406.26320029047,106615.93197018902,1.6195242858829966e+16,0.5771156721779658
8.0,2.0,2.23484,15584.851,-357.907,77.83885,-27145.97821,4e-05,0.00028,2.10182,-0.13052,,0.0,-0.00151,-0.00455,22.88562,-13.56013,15584.851,-0.13052,-0.12652453639846972,8.920938065769447e-05,2.10182,0.14500000000043656,0.00023139852,106138.03132336409,106138.03132336409,106376.35331090636,1.677364438940477e+16,0.5671782136000136
8.0,2.0,2.34916,15584.856,-357.907,77.83898,-27145.978,-6e-05,-0.00029,2.21614,-0.1192,,0.0,-0.00149,-0.00456,22.88537,-13.44582,15584.856,-0.1192,-0.1185273639846765,8.771529619809061e-05,2.21614,0.1500000000014552,0.00023127055,106079.3339562917,106079.3339562917,106145.44149154691,1.7352045920189994e+16,0.5650035926690461
