Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um]
7.0,2.0,0.00629,15563.00567,-857.90302,77.84099,-27144.122,-0.00023,-0.00016,-0.10343,-0.10941,,0.0,-0.00152,-0.00453,22.88303,-20.3729
7.0,2.0,0.02416,15563.01067,-857.90394,77.8401,-27144.12285,-0.00039,-0.00032,-0.08556,-0.11346,,0.0,-0.00149,-0.00454,22.88307,-20.35502
7.0,2.0,0.05027,15563.01567,-857.904,77.84,-27144.123,-7e-05,0.00013,-0.05944,-0.10285,,0.0,-0.00153,-0.00448,22.883,-20.32892
7.0,2.0,0.08127,15563.02067,-857.904,77.84085,-27144.12215,-0.00031,-0.00017,-0.02844,-0.10733,,0.0,-0.00152,-0.00452,22.88293,-20.29792
7.0,2.0,0.11701,15563.02567,-857.904,77.84099,-27144.122,-6e-05,-0.00018,0.00729,-0.11598,,0.0,-0.00147,-0.00456,22.88293,-20.26218
7.0,2.0,0.15977,15563.03067,-857.904,77.8401,-27144.122,0.00017,0.00068,0.05007,-0.09596,,0.0,-0.00154,-0.00453,22.88307,-20.21941
7.0,2.0,0.20754,15563.03567,-857.904,77.84,-27144.122,0.00012,0.00031,0.09784,-0.08346,,0.0,-0.00153,-0.00453,22.88298,-20.17165
7.0,2.0,0.25864,15563.04067,-857.904,77.84085,-27144.122,0.00028,-0.00042,0.14894,-0.09409,,0.0,-0.00152,-0.00453,22.88304,-20.12054
7.0,2.0,0.31518,15563.04567,-857.904,77.84099,-27144.122,2e-05,-0.00025,0.20548,-0.08443,,0.0,-0.00152,-0.00453,22.88301,-20.064
7.0,2.0,0.3769,15563.05067,-857.90321,77.8401,-27144.122,-0.00011,-2e-05,0.26721,-0.0702,,0.0,-0.00151,-0.00454,22.88299,-20.00228
7.0,2.0,0.44114,15563.05567,-857.90301,77.84,-27144.122,7e-05,-0.00071,0.33145,-0.07346,,0.0,-0.00154,-0.00455,22.88298,-19.93804
7.0,2.0,0.50958,15563.06067,-857.9039,77.84085,-27144.12279,-4e-05,-7e-05,0.39989,-0.06945,,0.0,-0.00153,-0.00455,22.8831,-19.8696
7.0,2.0,0.58332,15563.06567,-857.904,77.841,-27144.12301,0.00025,0.00041,0.47365,-0.05482,,0.0,-0.00155,-0.00454,22.88299,-19.79586
7.0,2.0,0.6591,15563.07067,-857.904,77.84021,-27144.1239,0.00032,6e-05,0.54943,-0.0499,,0.0,-0.00153,-0.00452,22.88294,-19.72008
7.0,2.0,0.73756,15563.07567,-857.90399,77.84,-27144.124,0.00027,-0.0002,0.62789,-0.04891,,0.0,-0.00157,-0.00457,22.88295,-19.64162
7.0,2.0,0.8213,15563.08067,-857.9031,77.84085,-27144.124,0.00022,-6e-05,0.71163,-0.04148,,0.0,-0.00154,-0.00455,22.88303,-19.55788
7.0,2.0,0.90727,15563.08567,-857.903,77.841,-27144.124,0.00011,4e-05,0.79762,-0.01851,,0.0,-0.00157,-0.00454,22.88294,-19.47191
7.0,2.0,0.99452,15563.09067,-857.90379,77.841,-27144.12315,-8e-05,-0.00048,0.88485,-0.03319,,0.0,-0.00153,-0.00457,22.88288,-19.38467
7.0,2.0,1.08595,15563.09567,-857.904,77.84099,-27144.12301,-5e-05,-0.00031,0.97631,-0.00349,,0.0,-0.0015,-0.00453,22.88284,-19.29323
7.0,2.0,1.18073,15563.10067,-857.904,77.8401,-27144.12471,-0.00026,0.00031,1.07109,0.00253,,0.0,-0.00151,-0.00454,22.88294,-19.19845
7.0,2.0,1.27573,15563.10567,-857.904,77.84,-27144.125,-0.00014,-0.00029,1.16609,0.00444,,0.0,-0.00153,-0.00456,22.88307,-19.10346
7.0,2.0,1.37345,15563.11067,-857.904,77.84085,-27144.12421,4e-05,-0.00038,1.26381,0.01606,,0.0,-0.00148,-0.00458,22.88307,-19.00574
7.0,2.0,1.47517,15563.11567,-857.904,77.84099,-27144.124,1e-05,-3e-05,1.36555,0.03225,,0.0,-0.00148,-0.00456,22.88288,-18.90401
7.0,2.0,1.57716,15563.12067,-857.90315,77.8401,-27144.124,-4e-05,-0.00028,1.46754,0.03233,,0.0,-0.00149,-0.00453,22.88303,-18.80202
7.0,2.0,1.6806,15563.12567,-857.903,77.84,-27144.124,4e-05,-0.00028,1.57098,0.03909,,0.0,-0.00156,-0.00457,22.88303,-18.69858
7.0,2.0,1.78766,15563.13067,-857.90385,77.84,-27144.124,0.0002,0.00012,1.67805,0.06079,,0.0,-0.00149,-0.00455,22.88293,-18.59153
7.0,2.0,1.89516,15563.13567,-857.904,77.84,-27144.124,0.00036,0.00012,1.78556,0.06343,,0.0,-0.00151,-0.00459,22.88297,-18.48402
7.0,2.0,2.00319,15563.14067,-857.904,77.84,-27144.12321,0.00017,-0.00023,1.8936,0.06844,,0.0,-0.00151,-0.00456,22.88307,-18.37599
7.0,2.0,2.11454,15563.14567,-857.90398,77.84,-27144.123,0.00035,-0.00012,2.00495,0.08889,,0.0,-0.00151,-0.00459,22.88288,-18.26464
7.0,2.0,2.22756,15563.15067,-857.90306,77.84,-27144.12379,0.0002,-7e-05,2.11799,0.11195,,0.0,-0.00149,-0.0046,22.88294,-18.15163
7.0,2.0,2.3406,15563.15567,-857.90301,77.84,-27144.124,-0.00019,-0.00022,2.23102,0.0933,,0.0,-0.00153,-0.00456,22.88301,-18.03858
7.0,2.0,2.4563,15563.16067,-857.9039,77.84085,-27144.124,0.00012,-0.00069,2.34673,0.11748,,0.0,-0.00155,-0.00455,22.88307,-17.92289
7.0,2.0,2.57512,15563.16567,-857.904,77.841,-27144.124,-1e-05,-0.00011,2.46557,0.1334,,0.0,-0.00158,-0.00455,22.88282,-17.80406
7.0,2.0,2.69334,15563.17067,-857.904,77.841,-27144.12315,-9e-05,-1e-05,2.58378,0.13228,,0.0,-0.00152,-0.00457,22.883,-17.68584
7.0,2.0,2.81293,15563.17567,-857.904,77.84099,-27144.123,-0.0002,-0.00052,2.70338,0.14585,,0.0,-0.00157,-0.00456,22.88296,-17.56626
7.0,2.0,2.93565,15563.18067,-857.90485,77.8401,-27144.12458,-5e-05,-2e-05,2.82612,0.16232,,0.0,-0.00156,-0.00455,22.88294,-17.44353
