Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um]
3.0,2.0,0.00575,15476.216,-357.90696,-422.161,-27143.51202,-0.00038,-0.0004,-0.04336,-0.10242,,0.0,-0.00154,-0.00456,22.87321,5.07839
3.0,2.0,0.02548,15476.221,-357.90604,-422.161,-27143.5138,-0.00051,0.0002,-0.02362,-0.09559,,0.0,-0.0016,-0.00455,22.8733,5.09812
3.0,2.0,0.05065,15476.226,-357.906,-422.161,-27143.514,-0.00047,0.00033,0.00154,-0.09795,,0.0,-0.00158,-0.00459,22.87344,5.12328
3.0,2.0,0.08055,15476.231,-357.906,-422.161,-27143.51485,-0.00052,-0.00043,0.03144,-0.09668,,0.0,-0.00158,-0.00455,22.87344,5.15319
3.0,2.0,0.11849,15476.236,-357.906,-422.161,-27143.515,-0.0002,-0.00019,0.06938,-0.09207,,0.0,-0.0016,-0.00457,22.87335,5.19113
3.0,2.0,0.16116,15476.241,-357.906,-422.161,-27143.51415,-1e-05,-0.00028,0.11206,-0.08473,,0.0,-0.00162,-0.00457,22.87337,5.2338
3.0,2.0,0.20709,15476.246,-357.906,-422.16103,-27143.514,-0.0002,-0.00062,0.15799,-0.08168,,0.0,-0.00162,-0.00454,22.87338,5.27973
3.0,2.0,0.25884,15476.251,-357.906,-422.1637,-27143.514,-0.00023,-0.00035,0.20974,-0.08333,,0.0,-0.00159,-0.00458,22.87339,5.33148
3.0,2.0,0.31657,15476.256,-357.906,-422.16396,-27143.51402,2e-05,0.00039,0.26747,-0.07985,,0.0,-0.00162,-0.00455,22.87343,5.38921
3.0,2.0,0.37668,15476.261,-357.906,-422.16213,-27143.5158,-1e-05,0.00049,0.32758,-0.07051,,0.0,-0.00159,-0.00457,22.87334,5.44931
3.0,2.0,0.44114,15476.266,-357.906,-422.162,-27143.51599,-7e-05,-0.00026,0.39206,-0.05467,,0.0,-0.00161,-0.00459,22.87347,5.51378
3.0,2.0,0.51104,15476.271,-357.906,-422.162,-27143.51429,2e-05,-0.00028,0.46197,-0.04948,,0.0,-0.00158,-0.00455,22.87334,5.58368
3.0,2.0,0.58366,15476.276,-357.906,-422.162,-27143.51402,9e-05,-0.0003,0.53458,-0.05183,,0.0,-0.00155,-0.00457,22.8735,5.65629
3.0,2.0,0.65862,15476.281,-357.90685,-422.162,-27143.5158,-0.00024,-0.00046,0.60954,-0.04556,,0.0,-0.00156,-0.00459,22.87353,5.73125
3.0,2.0,0.73867,15476.286,-357.907,-422.162,-27143.51599,-0.00017,-0.00032,0.6896,-0.03173,,0.0,-0.00155,-0.00458,22.87352,5.81131
3.0,2.0,0.82202,15476.291,-357.907,-422.162,-27143.5151,-0.00013,0.00024,0.77296,-0.01987,,0.0,-0.00156,-0.00455,22.87355,5.89466
3.0,2.0,0.90652,15476.296,-357.907,-422.16198,-27143.515,-0.0002,0.0002,0.85746,-0.01341,,0.0,-0.00158,-0.00456,22.87331,5.97916
3.0,2.0,0.99492,15476.301,-357.907,-422.16106,-27143.51585,0.00013,-4e-05,0.94587,0.00027,,0.0,-0.00157,-0.00456,22.87366,6.06756
3.0,2.0,1.08732,15476.306,-357.90698,-422.161,-27143.516,0.00036,-0.00041,1.03828,0.00569,,0.0,-0.00158,-0.00459,22.8733,6.15996
3.0,2.0,1.17993,15476.311,-357.90606,-422.161,-27143.516,0.00027,-0.0003,1.13089,0.00907,,0.0,-0.00156,-0.00456,22.87346,6.25257
3.0,2.0,1.27539,15476.316,-357.90598,-422.161,-27143.51599,-7e-05,-0.00033,1.22635,0.00931,,0.0,-0.00159,-0.00455,22.87346,6.34803
3.0,2.0,1.37495,15476.321,-357.90506,-422.161,-27143.51429,-5e-05,0.00015,1.32592,0.0206,,0.0,-0.00155,-0.00458,22.87354,6.44759
3.0,2.0,1.47533,15476.326,-357.90504,-422.16099,-27143.514,-0.00017,7e-05,1.4263,0.02805,,0.0,-0.00159,-0.00457,22.87326,6.54797
3.0,2.0,1.57644,15476.331,-357.90687,-422.1601,-27143.51485,-0.00042,0.00011,1.52742,0.05024,,0.0,-0.00156,-0.00457,22.87342,6.64908
3.0,2.0,1.68165,15476.336,-357.907,-422.16004,-27143.51501,-0.0003,-0.00037,1.63265,0.06117,,0.0,-0.00156,-0.0046,22.87359,6.75429
3.0,2.0,1.78783,15476.341,-357.90615,-422.16187,-27143.5159,-0.00021,-0.00041,1.73883,0.07572,,0.0,-0.00154,-0.00461,22.87335,6.86047
3.0,2.0,1.89415,15476.346,-357.90604,-422.162,-27143.516,-0.00054,-0.00049,1.84516,0.08068,,0.0,-0.00156,-0.00465,22.87325,6.96679
3.0,2.0,2.00367,15476.351,-357.90696,-422.162,-27143.516,-0.00049,-0.00042,1.95468,0.08576,,0.0,-0.00161,-0.00457,22.87344,7.07631
3.0,2.0,2.11519,15476.356,-357.907,-422.16198,-27143.516,-0.0002,-0.00022,2.0662,0.08909,,0.0,-0.00159,-0.0046,22.87343,7.18783
3.0,2.0,2.22693,15476.361,-357.907,-422.16106,-27143.516,-7e-05,-0.00017,2.17795,0.09896,,0.0,-0.00155,-0.00459,22.87327,7.29957
3.0,2.0,2.34033,15476.366,-357.90698,-422.16101,-27143.516,0.00038,-0.00013,2.29135,0.10682,,0.0,-0.00156,-0.00458,22.87344,7.41296
3.0,2.0,2.45741,15476.371,-357.90606,-422.1619,-27143.51515,0.00051,-0.00013,2.40844,0.12527,,0.0,-0.00157,-0.00457,22.87354,7.53005
3.0,2.0,2.57469,15476.376,-357.906,-422.16198,-27143.51501,0.00023,-0.0006,2.52573,0.13516,,0.0,-0.00155,-0.00457,22.87348,7.64733
3.0,2.0,2.69231,15476.381,-357.906,-422.16106,-27143.5159,0.0001,-0.00025,2.64335,0.1328,,0.0,-0.00156,-0.0046,22.87346,7.76494
3.0,2.0,2.8138,15476.386,-357.906,-422.16102,-27143.516,0.00035,8e-05,2.76485,0.15209,,0.0,-0.00156,-0.00457,22.87338,7.88643
3.0,2.0,2.93541,15476.391,-357.906,-422.16194,-27143.516,0.00034,-0.00049,2.88647,0.16428,,0.0,-0.00154,-0.00455,22.87346,8.00804
3.0,2.0,3.05684,15476.396,-357.906,-422.16199,-27143.51601,0.0002,-0.00023,3.00791,0.1716,,0.0,-0.0015,-0.00454,22.87343,8.12948
3.0,2.0,3.18084,15476.401,-357.906,-422.1611,-27143.5169,0.00036,0.00019,3.13191,0.18636,,0.0,-0.00153,-0.00454,22.87338,8.25348
3.0,2.0,3.30598,15476.406,-357.90602,-422.16101,-27143.517,0.00071,-0.00013,3.25706,0.19168,,0.0,-0.00155,-0.00453,22.87352,8.37862
3.0,2.0,3.43,15476.411,-357.90694,-422.1619,-27143.51785,0.00046,-0.00019,3.38108,0.19382,,0.0,-0.00155,-0.00454,22.8734,8.50264
3.0,2.0,3.55526,15476.416,-357.90702,-422.16199,-27143.518,0.00012,-0.00031,3.50634,0.19904,,0.0,-0.00158,-0.00455,22.8733,8.6279
3.0,2.0,3.68296,15476.421,-357.90794,-422.1611,-27143.518,0.00053,0.00017,3.63405,0.21435,,0.0,-0.00153,-0.00455,22.87327,8.75559
3.0,2.0,3.80921,15476.426,-357.90799,-422.161,-27143.51799,0.0004,-0.0001,3.7603,0.22653,,0.0,-0.00155,-0.00457,22.87333,8.88184
3.0,2.0,3.93556,15476.431,-357.9071,-422.161,-27143.5171,0.00015,-0.00069,3.88667,0.24395,,0.0,-0.00152,-0.00456,22.87358,9.0082
3.0,2.0,4.0643,15476.436,-357.907,-422.16102,-27143.51702,0.00031,0.00026,4.01542,0.25669,,0.0,-0.00154,-0.00459,22.87333,9.13693
3.0,2.0,4.19246,15476.441,-357.90615,-422.16194,-27143.5188,0.00018,-0.00011,4.14358,0.26768,,0.0,-0.00157,-0.00458,22.87334,9.26509
3.0,2.0,4.31945,15476.446,-357.906,-422.162,-27143.51899,-6e-05,-0.00049,4.27058,0.2684,,0.0,-0.00158,-0.00455,22.87346,9.39209
3.0,2.0,4.44866,15476.451,-357.906,-422.162,-27143.5181,-7e-05,0.00019,4.39979,0.27896,,0.0,-0.00161,-0.00457,22.87325,9.52129
3.0,2.0,4.57867,15476.456,-357.906,-422.162,-27143.518,-0.00021,-5e-05,4.52981,0.29416,,0.0,-0.00154,-0.00461,22.87342,9.6513
3.0,2.0,4.70617,15476.461,-357.906,-422.162,-27143.518,-6e-05,-0.00053,4.65732,0.30179,,0.0,-0.00156,-0.00459,22.87343,9.77881
3.0,2.0,4.8354,15476.466,-357.90601,-422.162,-27143.518,-0.0001,-0.00052,4.78656,0.31826,,0.0,-0.00154,-0.00457,22.87353,9.90804
3.0,2.0,4.9662,15476.471,-357.9069,-422.162,-27143.518,0.00023,-0.00014,4.91736,0.33098,,0.0,-0.00156,-0.00456,22.87342,10.03883
3.0,2.0,5.09501,15476.476,-357.907,-422.162,-27143.518,-4e-05,-2e-05,5.04619,0.34365,,0.0,-0.00153,-0.0046,22.87341,10.16765
3.0,2.0,5.22371,15476.481,-357.907,-422.162,-27143.51885,-0.00045,-0.00025,5.17489,0.3485,,0.0,-0.00151,-0.00456,22.87338,10.29635
3.0,2.0,5.35465,15476.486,-357.90696,-422.16199,-27143.519,-0.00014,-4e-05,5.30582,0.34875,,0.0,-0.00152,-0.00456,22.87355,10.42728
3.0,2.0,5.48465,15476.491,-357.90604,-422.1611,-27143.51815,-0.00015,-0.00013,5.43584,0.37138,,0.0,-0.00156,-0.00455,22.87358,10.55729
3.0,2.0,5.61295,15476.496,-357.90604,-422.161,-27143.518,4e-05,-0.00062,5.56414,0.36937,,0.0,-0.00153,-0.00459,22.87341,10.68558
3.0,2.0,5.74386,15476.501,-357.90696,-422.161,-27143.518,0.00019,-0.00016,5.69506,0.39481,,0.0,-0.00146,-0.00454,22.87348,10.81649
3.0,2.0,5.87501,15476.506,-357.90698,-422.161,-27143.518,0.00024,-4e-05,5.82622,0.40301,,0.0,-0.00148,-0.0046,22.87333,10.94764
3.0,2.0,6.00295,15476.511,-357.90606,-422.161,-27143.51715,0.00019,-0.00041,5.95417,0.40961,,0.0,-0.00149,-0.00456,22.8735,11.07559
3.0,2.0,6.13348,15476.516,-357.906,-422.161,-27143.51701,-0.00013,-0.00021,6.0847,0.41241,,0.0,-0.00151,-0.00459,22.87352,11.20612
3.0,2.0,6.26533,15476.521,-357.906,-422.161,-27143.51871,0.00014,1e-05,6.21656,0.42556,,0.0,-0.00147,-0.0046,22.87337,11.33797
3.0,2.0,6.39384,15476.526,-357.906,-422.16101,-27143.519,0.00024,-0.00067,6.34508,0.44199,,0.0,-0.00149,-0.00456,22.8734,11.46648
3.0,2.0,6.52307,15476.531,-357.906,-422.1619,-27143.51815,0.00033,-0.00054,6.47432,0.45701,,0.0,-0.00154,-0.00454,22.87329,11.5957
3.0,2.0,6.65488,15476.536,-357.90604,-422.16199,-27143.518,0.00025,-0.00041,6.60614,0.4693,,0.0,-0.00151,-0.00452,22.8735,11.72752
3.0,2.0,6.78425,15476.541,-357.90696,-422.1611,-27143.518,-7e-05,-6e-05,6.73551,0.47633,,0.0,-0.00151,-0.00456,22.87347,11.85689
3.0,2.0,6.91286,15476.546,-357.90698,-422.16101,-27143.518,-4e-05,-0.00022,6.86412,0.47435,,0.0,-0.00151,-0.00454,22.87345,11.9855
3.0,2.0,7.0441,15476.551,-357.90606,-422.1619,-27143.51885,-0.00038,-0.00014,6.99537,0.50068,,0.0,-0.00145,-0.00456,22.87351,12.11673
3.0,2.0,7.17447,15476.556,-357.906,-422.162,-27143.519,-0.00025,0.0001,7.12575,0.5119,,0.0,-0.0015,-0.00457,22.87347,12.24711
3.0,2.0,7.30221,15476.561,-357.906,-422.162,-27143.519,-0.00013,-0.00051,7.2535,0.51601,,0.0,-0.00152,-0.00456,22.87349,12.37485
3.0,2.0,7.43284,15476.566,-357.90602,-422.16199,-27143.519,-0.00017,-0.00069,7.38414,0.54427,,0.0,-0.00154,-0.00457,22.87352,12.50547
3.0,2.0,7.56372,15476.571,-357.90694,-422.1611,-27143.51985,8e-05,-0.00016,7.51502,0.54313,,0.0,-0.00153,-0.00454,22.87352,12.63636
3.0,2.0,7.6918,15476.576,-357.90696,-422.161,-27143.52,-0.00013,-0.00015,7.6431,0.54582,,0.0,-0.00154,-0.0046,22.87348,12.76443
3.0,2.0,7.8214,15476.581,-357.90513,-422.161,-27143.52,-0.00026,-0.00015,7.77271,0.5582,,0.0,-0.00152,-0.00459,22.87336,12.89403
3.0,2.0,7.95193,15476.586,-357.90502,-422.161,-27143.52,-6e-05,-0.00025,7.90326,0.57693,,0.0,-0.00153,-0.00459,22.87352,13.02457
3.0,2.0,8.08113,15476.591,-357.90594,-422.161,-27143.52,0.00019,-0.00025,8.03246,0.58835,,0.0,-0.00152,-0.00456,22.87356,13.15377
3.0,2.0,8.20954,15476.596,-357.906,-422.161,-27143.51999,-7e-05,-0.00078,8.16087,0.5946,,0.0,-0.00152,-0.00458,22.87335,13.28217
3.0,2.0,8.33984,15476.601,-357.906,-422.161,-27143.5191,0.00038,-0.00017,8.29118,0.60175,,0.0,-0.00151,-0.00455,22.87346,13.41248
3.0,2.0,8.47007,15476.606,-357.90602,-422.161,-27143.519,1e-05,-0.00019,8.42142,0.62072,,0.0,-0.00152,-0.00456,22.8735,13.54271
3.0,2.0,8.59737,15476.611,-357.90694,-422.161,-27143.519,-7e-05,-0.00019,8.54873,0.6249,,0.0,-0.0015,-0.00458,22.8734,13.67001
3.0,2.0,8.72716,15476.616,-357.90702,-422.161,-27143.519,-0.00018,1e-05,8.67853,0.64098,,0.0,-0.00152,-0.00458,22.87336,13.7998
3.0,2.0,8.85773,15476.621,-357.90794,-422.161,-27143.51985,4e-05,-6e-05,8.8091,0.6522,,0.0,-0.0015,-0.00455,22.87343,13.93037
3.0,2.0,8.98496,15476.626,-357.90793,-422.161,-27143.51999,-7e-05,-0.00075,8.93634,0.66755,,0.0,-0.00154,-0.00457,22.87344,14.0576
3.0,2.0,9.11421,15476.631,-357.90607,-422.161,-27143.5191,-2e-05,-0.00069,9.0656,0.68036,,0.0,-0.00155,-0.00458,22.87343,14.18685
3.0,2.0,9.24441,15476.636,-357.906,-422.16101,-27143.519,8e-05,-0.00018,9.1958,0.68167,,0.0,-0.00152,-0.0046,22.87347,14.31704
3.0,2.0,9.37231,15476.641,-357.906,-422.1619,-27143.519,-0.00012,-5e-05,9.32371,0.6922,,0.0,-0.0015,-0.00458,22.87345,14.44494
3.0,2.0,9.50056,15476.646,-357.906,-422.162,-27143.51901,-0.00044,-0.00012,9.45197,0.70909,,0.0,-0.0015,-0.00455,22.87353,14.5732
3.0,2.0,9.63033,15476.651,-357.906,-422.162,-27143.5199,-0.00011,0.00019,9.58175,0.7271,,0.0,-0.00149,-0.00455,22.87341,14.70296
3.0,2.0,9.75918,15476.656,-357.906,-422.162,-27143.52,0.00017,-0.00022,9.71061,0.73049,,0.0,-0.00154,-0.00459,22.87338,14.83182
3.0,2.0,9.88665,15476.661,-357.90515,-422.162,-27143.52,-1e-05,-0.00065,9.83808,0.74452,,0.0,-0.00156,-0.00457,22.87341,14.95929
3.0,2.0,10.01602,15476.666,-357.90502,-422.162,-27143.52,0.00017,-0.00014,9.96746,0.75836,,0.0,-0.00153,-0.00457,22.87348,15.08865
3.0,2.0,10.14544,15476.671,-357.90594,-422.162,-27143.52,3e-05,-6e-05,10.09689,0.76172,,0.0,-0.00147,-0.00459,22.87339,15.21808
3.0,2.0,10.27266,15476.676,-357.90601,-422.162,-27143.52,-0.00024,-0.00024,10.2241,0.75743,,0.0,-0.00156,-0.00457,22.87351,15.34529
3.0,2.0,10.4013,15476.681,-357.9069,-422.16115,-27143.52,-0.00015,0.00013,10.35276,0.78732,,0.0,-0.00155,-0.00452,22.87354,15.47394
