Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um]
6.0,2.0,0.00573,15541.28567,-1357.914,77.84,-27142.297,0.00015,-0.00036,-0.08847,-0.10397,,0.0,-0.00152,-0.00452,22.88045,-19.73131
6.0,2.0,0.02403,15541.29067,-1357.914,77.83915,-27142.297,0.0002,-0.00014,-0.07016,-0.09007,,0.0,-0.0015,-0.00454,22.88068,-19.71301
6.0,2.0,0.05089,15541.29567,-1357.914,77.839,-27142.297,-0.00024,0.00011,-0.04331,-0.09049,,0.0,-0.00151,-0.00455,22.88056,-19.68615
6.0,2.0,0.08047,15541.30067,-1357.914,77.839,-27142.29779,-0.00014,0.00042,-0.01373,-0.09178,,0.0,-0.00151,-0.0045,22.88053,-19.65657
6.0,2.0,0.11668,15541.30567,-1357.914,77.839,-27142.29799,0.0002,3e-05,0.02249,-0.08805,,0.0,-0.00151,-0.00451,22.88057,-19.62036
6.0,2.0,0.1607,15541.31067,-1357.914,77.839,-27142.2971,-5e-05,-0.00019,0.06652,-0.07684,,0.0,-0.00152,-0.00453,22.88054,-19.57634
6.0,2.0,0.20701,15541.31567,-1357.91402,77.839,-27142.297,0.00022,2e-05,0.11283,-0.07585,,0.0,-0.00152,-0.00452,22.88063,-19.53003
6.0,2.0,0.25858,15541.32067,-1357.9158,77.83985,-27142.29779,0.00026,-0.00023,0.16438,-0.08711,,0.0,-0.0015,-0.00453,22.88062,-19.47846
6.0,2.0,0.31594,15541.32567,-1357.91599,77.84,-27142.298,-0.00024,-0.00047,0.22176,-0.0701,,0.0,-0.00151,-0.00453,22.88052,-19.4211
6.0,2.0,0.37628,15541.33067,-1357.91429,77.83921,-27142.298,-0.00011,0.00023,0.2821,-0.05648,,0.0,-0.0015,-0.00453,22.88045,-19.36077
6.0,2.0,0.44095,15541.33567,-1357.91402,77.83901,-27142.298,-0.00012,0.00032,0.34677,-0.06613,,0.0,-0.00154,-0.00454,22.88054,-19.29609
6.0,2.0,0.51055,15541.34067,-1357.91494,77.8399,-27142.298,2e-05,0.00013,0.41638,-0.0479,,0.0,-0.0015,-0.00455,22.8806,-19.22649
6.0,2.0,0.58307,15541.34567,-1357.915,77.83999,-27142.298,0.00028,-0.00041,0.4889,-0.04162,,0.0,-0.00149,-0.00456,22.88055,-19.15397
