Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Indent Depth [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
0.0,2.0,45.41356,14553.68067,-857.869,-422.195,-27142.801,0.00012,-3e-05,45.55705,222.25767,,0.0,-0.00147,-0.0046,22.76763,67.58131,14553.69567,227.15415,227.19697176245626,0.006558342385516114,45.93382,1.8700000000008004,0.0002133151,92356.39835462066,92356.39835462066,92318.73114004917,2.0030000187952042e+17,0.18856601219152522
0.0,2.0,45.53871,14553.68567,-857.86864,-422.19521,-27142.801,0.00019,-8e-05,45.6833,223.96661,,0.0,-0.00145,-0.0046,22.76751,67.70645,14553.70067,229.20269,228.90862521839495,0.007757898783140482,46.06073,1.875,0.00021284800999999998,92154.16817913162,92154.16817913162,92312.16867243432,2.008355633817861e+17,0.181875031042945
0.0,2.0,45.66205,14553.69067,-857.868,-422.196,-27142.801,5e-05,-1e-05,45.80738,225.1098,,0.0,-0.00149,-0.00462,22.76771,67.8298,14553.70567,230.40286,230.67049953257126,0.006695900635693808,46.18521,1.8800000000010186,0.0002133734,92381.63978396192,92381.63978396192,92305.62684274906,2.0137112488424666e+17,0.1894011493191925
0.0,2.0,45.78717,14553.69567,-857.86821,-422.196,-27142.801,5e-05,-2e-05,45.93382,227.15415,,0.0,-0.00149,-0.00462,22.76771,67.95492,14553.71067,232.20317,232.41375694253296,0.006909514715099707,46.31107,1.8850000000002183,0.00021343943999999998,92410.23230529462,92410.23230529462,92299.1055351918,2.0190668638651235e+17,0.19034716056981255
0.0,2.0,45.91277,14553.70067,-857.869,-422.196,-27142.801,-5e-05,-0.00043,46.06073,229.20269,,0.0,-0.00146,-0.00457,22.76765,68.08051,14553.71567,234.49393,234.1394591800809,0.008370051450394378,46.4383,1.890000000001237,0.00021284431,92152.56623593158,92152.56623593158,92292.60463467649,2.024422478889729e+17,0.18182202920122356
0.0,2.0,46.03648,14553.70567,-857.86928,-422.196,-27142.801,-0.00034,-0.00032,46.18521,230.40286,,0.0,-0.00144,-0.00458,22.76762,68.20422,14553.72067,235.85559,235.91596159387402,0.007569849774675674,46.56311,1.8950000000004366,0.00021317103,92294.02215007185,92294.02215007185,92286.124026847,2.029778093912386e+17,0.18650223507346242
0.0,2.0,46.16118,14553.71067,-857.87,-422.196,-27142.801,-0.00024,-9e-05,46.31107,232.20317,,0.0,-0.00146,-0.00455,22.76763,68.32892,14553.72567,237.35168,237.7006688659047,0.0066838347016254795,46.68795,1.9000000000014552,0.00021351248,92441.85552997878,92441.85552997878,92279.66359805339,2.0351337089369914e+17,0.19139344557504143
0.0,2.0,46.28693,14553.71567,-857.86927,-422.19579,-27142.801,0.00012,-4e-05,46.4383,234.49393,,0.0,-0.00147,-0.00457,22.76774,68.45468,14553.73067,239.75206,239.44990426820357,0.007994694454898643,46.81539,1.9050000000006548,0.000212911,92181.44017971835,92181.44017971835,92273.22323536637,2.0404893239596483e+17,0.18277735158620056
0.0,2.0,46.41086,14553.72067,-857.868,-422.195,-27142.801,0.0002,-0.00038,46.56311,235.85559,,0.0,-0.00145,-0.00456,22.76765,68.57861,14553.73567,241.41824,241.2359745900427,0.007792730242864754,46.94131,1.9099999999998545,0.00021293727999999998,92192.81830601489,92192.81830601489,92266.80282655601,2.0458449389823053e+17,0.18315380791064437
0.0,2.0,46.53474,14553.72567,-857.868,-422.19521,-27142.801,-1e-05,-0.00055,46.68795,237.35168,,0.0,-0.0015,-0.0046,22.76772,68.70249,14553.74067,242.66635,243.05476869732243,0.006270653446098007,47.06547,1.9150000000008731,0.00021348353999999997,92429.32573640867,92429.32573640867,92260.40226009453,2.0512005540069107e+17,0.19097888522384568
0.0,2.0,46.66064,14553.73067,-857.868,-422.196,-27142.801,0.00012,0.00028,46.81539,239.75206,,0.0,-0.00146,-0.00459,22.76759,68.82839,14553.74567,244.94673,244.84003084291635,0.006827456949107358,47.19238,1.9200000000000728,0.00021305388,92243.30116469742,92243.30116469742,92254.02142515841,2.0565561690295677e+17,0.1848240821659797
0.0,2.0,46.78549,14553.73567,-857.868,-422.19572,-27142.801,0.0002,6e-05,46.94131,241.41824,,0.0,-0.00148,-0.00456,22.76774,68.95323,14553.75067,246.97553,246.63786016858688,0.0071096037218746355,47.31915,1.9250000000010914,0.00021270824,92093.65369235585,92093.65369235585,92247.66021160792,2.061911784054173e+17,0.17987285065985636
0.0,2.0,46.90885,14553.74067,-857.868,-422.195,-27142.801,-0.00021,-0.00054,47.06547,242.66635,,0.0,-0.00147,-0.00453,22.76762,69.07659,14553.75567,248.1714,248.4770849501961,0.005636369163329991,47.44322,1.930000000000291,0.00021332464999999998,92360.53309990726,92360.53309990726,92241.31851000105,2.06726739907683e+17,0.188702814242455
0.0,2.0,47.03429,14553.74567,-857.86828,-422.19521,-27142.801,-3e-05,3e-05,47.19238,244.94673,,0.0,-0.00146,-0.00459,22.76767,69.20204,14553.76067,250.16165,250.34195550958313,0.002764507010156292,47.56917,1.9350000000013097,0.00021326907,92336.46931529685,92336.46931529685,92234.99621157061,2.0726230141014355e+17,0.18790664063086415
