Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um]
0.0,2.0,0.00921,15411.086,-1357.907,-922.162,-27138.03798,-0.0,0.00021,0.00888,-0.03091,,0.0,-0.00157,-0.00453,22.86596,21.46908,15411.086,-0.03091,-0.038499698960043814,0.0003565208201759926,0.00888
0.0,2.0,0.0264,15411.091,-1357.907,-922.162,-27138.03706,-0.00021,-0.00044,0.02606,-0.04243,,0.0,-0.00152,-0.00454,22.86618,21.48627,15411.091,-0.04243,-0.03445434718538169,0.0003565208201759926,0.02606
0.0,2.0,0.0517,15411.096,-1357.90698,-922.162,-27138.03704,-6e-05,0.0,0.05138,-0.0297,,0.0,-0.00155,-0.00455,22.86609,21.51158,15411.096,-0.0297,-0.030052474590543585,0.0003565208201759926,0.05138
0.0,2.0,0.0832,15411.101,-1357.90606,-922.162,-27138.03796,-0.00013,0.0,0.08287,-0.0221,,0.0,-0.0015,-0.00452,22.86624,21.54307,15411.101,-0.0221,-0.02529408117552948,0.0003565208201759926,0.08287
0.0,2.0,0.11816,15411.106,-1357.906,-922.162,-27138.038,-0.00035,-0.0003,0.11783,-0.03,,0.0,-0.00151,-0.00454,22.86606,21.57803,15411.106,-0.03,-0.020179166940339385,0.0003565208201759926,0.11783
0.0,2.0,0.15975,15411.111,-1357.906,-922.162,-27138.038,-0.00039,-0.00018,0.15943,-0.01636,,0.0,-0.00154,-0.00452,22.86606,21.61963,15411.111,-0.01636,-0.014707731884973298,0.0003565208201759926,0.15943
0.0,2.0,0.20782,15411.116,-1357.90604,-922.162,-27138.038,-3e-05,0.00021,0.2075,-0.00686,,0.0,-0.00151,-0.00454,22.86597,21.66769,15411.116,-0.00686,-0.008879776009431212,0.0003565208201759926,0.2075
0.0,2.0,0.25809,15411.121,-1357.90696,-922.162,-27138.038,-0.0001,0.00011,0.25778,0.00081,,0.0,-0.00149,-0.00451,22.86621,21.71796,15411.121,0.00081,-0.002695299313713137,0.0003565208201759926,0.25778
0.0,2.0,0.31279,15411.126,-1357.907,-922.16204,-27138.038,-0.00018,-0.00057,0.31249,0.00466,,0.0,-0.00149,-0.0045,22.86605,21.77266,15411.126,0.00466,0.0038456982021809263,0.0003565208201759926,0.31249
0.0,2.0,0.37473,15411.131,-1357.907,-922.16296,-27138.038,-3e-05,-6e-05,0.37443,0.01841,,0.0,-0.00149,-0.00451,22.86619,21.8346,15411.131,0.01841,0.010743216538250985,0.0003565208201759926,0.37443
0.0,2.0,0.43922,15411.136,-1357.90699,-922.163,-27138.03802,-8e-05,0.00029,0.43892,0.01748,,0.0,-0.00152,-0.00456,22.86618,21.89909,15411.136,0.01748,0.017997255694497033,0.0003565208201759926,0.43892
0.0,2.0,0.50586,15411.141,-1357.9061,-922.163,-27138.03894,-7e-05,0.0,0.50556,0.01737,,0.0,-0.00148,-0.00453,22.86625,21.96573,15411.141,0.01737,0.025607815670919083,0.0003565208201759926,0.50556
0.0,2.0,0.57863,15411.146,-1357.90613,-922.16298,-27138.03898,5e-05,0.00014,0.57835,0.03767,,0.0,-0.00147,-0.00454,22.86609,22.0385,15411.146,0.03767,0.03357489646751712,0.0003565208201759926,0.57835
0.0,2.0,0.65539,15411.151,-1357.90796,-922.16206,-27138.03806,0.00017,9e-05,0.65512,0.04943,,0.0,-0.00149,-0.00453,22.8661,22.11527,15411.151,0.04943,0.04189849808429194,0.00035652082017598,0.65512
0.0,2.0,0.73297,15411.156,-1357.90794,-922.162,-27138.038,-1e-05,-0.00044,0.73268,0.0389,,0.0,-0.00149,-0.00454,22.86606,22.19284,15411.156,0.0389,0.0510401685823764,0.00033321788556269817,0.73268
0.0,2.0,0.81515,15411.161,-1357.90702,-922.162,-27138.038,0.00024,-0.00043,0.81488,0.06169,,0.0,-0.00149,-0.00451,22.86626,22.27502,15411.161,0.06169,0.05979779310344936,0.00035041463517323796,0.81488
0.0,2.0,0.90158,15411.166,-1357.90694,-922.16202,-27138.038,0.00014,-0.00032,0.90132,0.07473,,0.0,-0.00151,-0.00452,22.86617,22.36145,15411.166,0.07473,0.06920783908046102,0.0003494118984463606,0.90132
0.0,2.0,0.98878,15411.171,-1357.90602,-922.16294,-27138.038,-0.00015,2e-05,0.98852,0.07611,,0.0,-0.00151,-0.0045,22.86628,22.44865,15411.171,0.07611,0.07997542528735777,0.00029059037514207547,0.98852
0.0,2.0,1.07877,15411.176,-1357.90613,-922.16298,-27138.03802,-0.00025,-7e-05,1.07851,0.08218,,0.0,-0.00151,-0.00456,22.86612,22.53864,15411.176,0.08218,0.09009066666666829,0.0002776703296703027,1.07851
0.0,2.0,1.1735,15411.181,-1357.90796,-922.16206,-27138.03894,-8e-05,0.0002,1.17326,0.10523,,0.0,-0.00148,-0.00455,22.86621,22.63337,15411.181,0.10523,0.10035508045977193,0.0002663892888720179,1.17326
0.0,2.0,1.26921,15411.186,-1357.90787,-922.162,-27138.03898,-0.00011,-2e-05,1.26897,0.11331,,0.0,-0.00151,-0.00454,22.866,22.72908,15411.186,0.11331,0.11072036781609397,0.00026438347859034187,1.26897
0.0,2.0,1.36568,15411.191,-1357.90604,-922.162,-27138.03806,1e-05,-0.0002,1.36545,0.11702,,0.0,-0.00151,-0.00451,22.86612,22.82556,15411.191,0.11702,0.12180521839080682,0.00023860696391727216,1.36545
0.0,2.0,1.4672,15411.196,-1357.906,-922.16204,-27138.038,-4e-05,-0.00023,1.46698,0.13541,,0.0,-0.00153,-0.0045,22.86627,22.92707,15411.196,0.13541,0.132661279693489,0.0002404950528398406,1.46698
0.0,2.0,1.56964,15411.201,-1357.906,-922.16296,-27138.038,-0.00025,-0.00019,1.56942,0.14296,,0.0,-0.0015,-0.00448,22.86605,23.02951,15411.201,0.14296,0.14486114942529,0.00018317334006984892,1.56942
0.0,2.0,1.67231,15411.206,-1357.90601,-922.16296,-27138.038,-0.00043,8e-05,1.6721,0.15305,,0.0,-0.00154,-0.00455,22.8661,23.13219,15411.206,0.15305,0.15683239080460057,0.0001490786914234722,1.6721
