Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um]
2.0,2.0,0.00522,15454.51567,-357.90601,-922.164,-27141.281,0.00014,-0.00047,-0.02797,-0.0859,,0.0,-0.00146,-0.00454,22.87088,6.46483,15454.51567,-0.0859,-0.08521710454296665,0.00036915430929224016,-0.02797
2.0,2.0,0.02287,15454.52067,-357.9069,-922.16315,-27141.281,4e-05,-0.00027,-0.01032,-0.0814,,0.0,-0.00144,-0.00451,22.87087,6.48248,15454.52067,-0.0814,-0.08299529409288033,0.00036915430929224016,-0.01032
2.0,2.0,0.04878,15454.52567,-357.907,-922.163,-27141.281,-0.00032,0.00024,0.01559,-0.0808,,0.0,-0.00145,-0.00452,22.87102,6.50839,15454.52567,-0.0808,-0.08040432933350178,0.00036915430929224016,0.01559
2.0,2.0,0.0792,15454.53067,-357.907,-922.16385,-27141.281,-0.00048,-0.00012,0.04602,-0.07784,,0.0,-0.00145,-0.00454,22.87091,6.53881,15454.53067,-0.07784,-0.07744421026483098,0.00036915430929224016,0.04602
2.0,2.0,0.1149,15454.53567,-357.907,-922.164,-27141.281,-0.00031,-0.00033,0.08172,-0.07665,,0.0,-0.00147,-0.0045,22.87097,6.57451,15454.53567,-0.07665,-0.07411493688686793,0.00036915430929224016,0.08172
2.0,2.0,0.1573,15454.54067,-357.907,-922.16315,-27141.28179,-0.00019,0.00026,0.12413,-0.06548,,0.0,-0.00148,-0.00448,22.87092,6.61692,15454.54067,-0.06548,-0.07041650919961266,0.00036915430929224016,0.12413
2.0,2.0,0.2044,15454.54567,-357.907,-922.163,-27141.282,-0.00035,-7e-05,0.17123,-0.05834,,0.0,-0.00142,-0.00456,22.87089,6.66401,15454.54567,-0.05834,-0.06634892720306515,0.00036915430929224016,0.17123
2.0,2.0,0.25494,15454.55067,-357.907,-922.16215,-27141.28115,-4e-05,-0.00069,0.22177,-0.06224,,0.0,-0.00143,-0.00453,22.87099,6.71456,15454.55067,-0.06224,-0.06191219089722539,0.00036915430929224016,0.22177
2.0,2.0,0.3117,15454.55567,-357.907,-922.16202,-27141.281,7e-05,-0.00017,0.27853,-0.06137,,0.0,-0.00145,-0.00451,22.87089,6.77132,15454.55567,-0.06137,-0.05710630028209339,0.00036915430929224016,0.27853
2.0,2.0,0.37313,15454.56067,-357.90615,-922.1638,-27141.28185,-0.00017,0.0002,0.33996,-0.05781,,0.0,-0.00146,-0.00452,22.87091,6.83274,15454.56067,-0.05781,-0.051931255357669154,0.00036915430929224016,0.33996
2.0,2.0,0.43699,15454.56567,-357.906,-922.164,-27141.282,0.00012,-0.00015,0.40382,-0.05734,,0.0,-0.00145,-0.00451,22.87088,6.8966,15454.56567,-0.05734,-0.04638705612395268,0.00036915430929224016,0.40382
2.0,2.0,0.50502,15454.57067,-357.90515,-922.16321,-27141.282,-7e-05,-0.00039,0.47186,-0.03422,,0.0,-0.00146,-0.00454,22.8708,6.96463,15454.57067,-0.03422,-0.04047370258094396,0.00036915430929224016,0.47186
2.0,2.0,0.57882,15454.57567,-357.90502,-922.163,-27141.282,0.00016,0.00013,0.54566,-0.03953,,0.0,-0.00147,-0.0045,22.8708,7.03843,15454.57567,-0.03953,-0.034191194728643,0.00036915430929224016,0.54566
2.0,2.0,0.65391,15454.58067,-357.9068,-922.16385,-27141.282,1e-05,-0.0001,0.62076,-0.02821,,0.0,-0.00143,-0.00453,22.8708,7.11352,15454.58067,-0.02821,-0.027539532567050315,0.0003691543092922486,0.62076
2.0,2.0,0.73252,15454.58567,-357.907,-922.164,-27141.282,-5e-05,-0.00066,0.69938,-0.01137,,0.0,-0.00147,-0.00454,22.87093,7.19213,15454.58567,-0.01137,-0.020259647509578916,0.0003533583428066248,0.69938
2.0,2.0,0.81574,15454.59067,-357.907,-922.164,-27141.28285,-8e-05,-8e-05,0.7826,-0.01256,,0.0,-0.00146,-0.00454,22.87095,7.27535,15454.59067,-0.01256,-0.012863854406130507,0.00035011485832175883,0.7826
2.0,2.0,0.9011,15454.59567,-357.907,-922.164,-27141.283,0.00011,0.00026,0.86796,-0.00626,,0.0,-0.00143,-0.00451,22.87105,7.36071,15454.59567,-0.00626,-0.004970000000000094,0.00033882783882784035,0.86796
2.0,2.0,0.98818,15454.60067,-357.907,-922.164,-27141.28221,-0.00021,-0.00035,0.95505,0.00223,,0.0,-0.00146,-0.00449,22.87073,7.4478,15454.60067,0.00223,0.0034022681992337735,0.0003180937223695836,0.95505
2.0,2.0,1.08013,15454.60567,-357.90698,-922.164,-27141.282,-1e-05,-0.00039,1.04701,0.00998,,0.0,-0.00149,-0.00454,22.87082,7.53975,15454.60567,0.00998,0.011583042145594077,0.00032440520399140737,1.04701
2.0,2.0,1.1741,15454.61067,-357.9052,-922.164,-27141.282,9e-05,0.00024,1.14098,0.01754,,0.0,-0.00146,-0.00452,22.87102,7.63372,15454.61067,0.01754,0.020518436781609566,0.0003083665529872365,1.14098
2.0,2.0,1.26873,15454.61567,-357.90501,-922.164,-27141.282,0.00014,-9e-05,1.23563,0.04141,,0.0,-0.00147,-0.00453,22.87104,7.72835,15454.61567,0.04141,0.03094394636015382,0.00022811165845647687,1.23563
2.0,2.0,1.36715,15454.62067,-357.9059,-922.164,-27141.282,-0.00032,-0.00036,1.33404,0.04273,,0.0,-0.00149,-0.00453,22.8709,7.82676,15454.62067,0.04273,0.0405163065134107,0.0002093281125005143,1.33404
2.0,2.0,1.46851,15454.62567,-357.90599,-922.16399,-27141.282,4e-05,0.00023,1.43541,0.04632,,0.0,-0.00143,-0.00456,22.8709,7.92813,15454.62567,0.04632,0.05034603065134191,0.0001893616268788532,1.43541
2.0,2.0,1.56992,15454.63067,-357.9051,-922.16229,-27141.282,-0.00018,-2e-05,1.53683,0.06092,,0.0,-0.00142,-0.00452,22.87092,8.02953,15454.63067,0.06092,0.06006451340996277,0.0001857364321502072,1.53683
2.0,2.0,1.67339,15454.63567,-357.90502,-922.16202,-27141.282,-0.00012,-0.00035,1.64029,0.05999,,0.0,-0.00145,-0.00451,22.87098,8.133,15454.63567,0.05999,0.06971298850574839,0.0001933569112879253,1.64029
2.0,2.0,1.77991,15454.64067,-357.90594,-922.1638,-27141.28285,0.00016,-0.00017,1.74683,0.07761,,0.0,-0.00147,-0.00457,22.87092,8.23952,15454.64067,0.07761,0.08016032183908192,0.00016663163656264711,1.74683
2.0,2.0,1.88789,15454.64567,-357.906,-922.16399,-27141.283,-1e-05,-7e-05,1.85482,0.09736,,0.0,-0.00146,-0.00457,22.87086,8.3475,15454.64567,0.09736,0.0899494789272047,0.00018788042608729595,1.85482
2.0,2.0,1.99534,15454.65067,-357.906,-922.1631,-27141.283,-1e-05,-1e-05,1.96227,0.09772,,0.0,-0.00149,-0.00457,22.87084,8.45495,15454.65067,0.09772,0.10054152490421639,0.00017379588227861082,1.96227
