Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Sample Displacement [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um]
4.0,2.0,0.00864,15497.89567,-857.904,-422.165,-27142.445,0.00063,-0.00035,-0.0586,-0.10268,,0.0,-0.00148,-0.00454,22.87592,-5.51948,15497.89567,-0.10268,-0.10868094690749862,0.0003853192707675466,-0.0586
4.0,2.0,0.02776,15497.90067,-857.904,-422.165,-27142.44585,0.00032,-0.00068,-0.03949,-0.11177,,0.0,-0.00146,-0.00453,22.87598,-5.50036,15497.90067,-0.11177,-0.10703466001431518,0.0003853192707675466,-0.03949
4.0,2.0,0.05388,15497.90567,-857.904,-422.165,-27142.446,0.00067,-0.0001,-0.01336,-0.0963,,0.0,-0.00144,-0.00455,22.87589,-5.47424,15497.90567,-0.0963,-0.10500305385036418,0.0003853192707675466,-0.01336
4.0,2.0,0.08391,15497.91067,-857.904,-422.165,-27142.446,0.00047,-0.00012,0.01667,-0.11113,,0.0,-0.00144,-0.00453,22.87588,-5.44421,15497.91067,-0.11113,-0.10258612841564564,0.0003853192707675466,0.01667
4.0,2.0,0.12038,15497.91567,-857.904,-422.165,-27142.446,0.00024,1e-05,0.05314,-0.09859,,0.0,-0.00146,-0.00451,22.87585,-5.40774,15497.91567,-0.09859,-0.09978388371015956,0.0003853192707675466,0.05314
4.0,2.0,0.16371,15497.92067,-857.904,-422.16415,-27142.44679,0.00082,0.00039,0.09647,-0.08343,,0.0,-0.00146,-0.00454,22.87581,-5.36441,15497.92067,-0.08343,-0.09659631973390592,0.0003853192707675466,0.09647
4.0,2.0,0.21042,15497.92567,-857.904,-422.164,-27142.447,0.00045,-0.00039,0.14318,-0.09956,,0.0,-0.00148,-0.00455,22.87578,-5.3177,15497.92567,-0.09956,-0.09302343648688474,0.0003853192707675466,0.14318
4.0,2.0,0.26121,15497.93067,-857.904,-422.16485,-27142.447,0.0002,-0.00022,0.19396,-0.10261,,0.0,-0.00148,-0.00454,22.87572,-5.26691,15497.93067,-0.10261,-0.08906523396909602,0.0003853192707675466,0.19396
4.0,2.0,0.31873,15497.93567,-857.90399,-422.165,-27142.447,0.00028,-0.00027,0.2515,-0.08347,,0.0,-0.00148,-0.00455,22.87582,-5.20939,15497.93567,-0.08347,-0.08472171218053975,0.0003853192707675466,0.2515
4.0,2.0,0.3801,15497.94067,-857.9031,-422.16415,-27142.447,-7e-05,-0.00016,0.31287,-0.08758,,0.0,-0.00149,-0.00454,22.87568,-5.14802,15497.94067,-0.08758,-0.07999287112121593,0.0003853192707675466,0.31287
